,hand,channel,note,velocity,start_beat,duration,note_value,chord
0,Right,0,77,80,0.25,0.239583,Sixteenth,F5
1,Right,0,79,80,0.5,0.239583,Sixteenth,G5
2,Right,0,77,80,0.75,0.239583,Sixteenth,F5
4,Right,0,75,80,1.0,0.239583,Sixteenth,D#5
3,Left,1,58,80,1.0,0.489583,Eighth,A#3
5,Right,0,74,80,1.25,0.239583,Sixteenth,D5
6,Left,1,65,80,1.25,0.239583,Sixteenth,F4
7,Left,1,62,80,1.5,0.489583,Eighth,D4
8,Right,0,72,80,1.5,0.239583,Sixteenth,C5
9,Right,0,70,80,1.75,0.239583,Sixteenth,A#4
10,Left,1,65,80,1.75,0.239583,Sixteenth,F4
11,Right,0,69,80,2.0,0.489583,Eighth,A4
12,Left,1,60,80,2.0,0.489583,Eighth,C4
13,Left,1,65,80,2.25,0.239583,Sixteenth,F4
15,Left,1,58,80,2.5,0.489583,Eighth,A#3
14,Right,0,70,80,2.5,0.489583,Eighth,A#4
16,Left,1,65,80,2.75,0.239583,Sixteenth,F4
17,Right,0,71,80,3.0,0.489583,Eighth,B4
18,Left,1,57,80,3.0,1.989583,Half,D#4_A3
20,Left,1,65,80,3.25,0.239583,Sixteenth,F4
21,Right,0,72,80,3.5,0.739583,DottedEighth,C5
22,Left,1,65,80,3.5,0.239583,Sixteenth,F4
23,Left,1,65,80,3.75,0.239583,Sixteenth,F4
24,Left,1,65,80,4.0,0.239583,Sixteenth,F4
25,Right,0,78,80,4.25,0.239583,Sixteenth,F#5
26,Left,1,65,80,4.25,0.239583,Sixteenth,F4
28,Left,1,65,80,4.5,0.239583,Sixteenth,F4
27,Right,0,81,80,4.5,0.239583,Sixteenth,A5
29,Left,1,65,80,4.75,0.239583,Sixteenth,F4
30,Right,0,79,80,4.75,0.239583,Sixteenth,G5
32,Left,1,57,80,5.0,0.489583,Eighth,A3
31,Right,0,77,80,5.0,0.239583,Sixteenth,F5
34,Left,1,65,80,5.25,0.239583,Sixteenth,F4
33,Right,0,75,80,5.25,0.239583,Sixteenth,D#5
35,Right,0,74,80,5.5,0.239583,Sixteenth,D5
36,Left,1,63,80,5.5,0.489583,Eighth,D#4
38,Left,1,65,80,5.75,0.239583,Sixteenth,F4
37,Right,0,72,80,5.75,0.239583,Sixteenth,C5
39,Right,0,70,80,6.0,0.489583,Eighth,A#4
40,Left,1,62,80,6.0,0.489583,Eighth,D4
41,Left,1,65,80,6.25,0.239583,Sixteenth,F4
42,Right,0,72,80,6.5,0.489583,Eighth,C5
43,Left,1,57,80,6.5,0.489583,Eighth,A3
44,Left,1,65,80,6.75,0.239583,Sixteenth,F4
45,Right,0,73,80,7.0,0.489583,Eighth,C#5
46,Left,1,58,80,7.0,1.489583,DottedQuarter,A#3
47,Left,1,65,80,7.25,0.239583,Sixteenth,F4
48,Left,1,65,80,7.5,0.239583,Sixteenth,F4
49,Right,0,74,80,7.5,0.739583,DottedEighth,D5
50,Left,1,65,80,7.75,0.239583,Sixteenth,F4
51,Left,1,65,80,8.0,0.239583,Sixteenth,F4
52,Right,0,77,80,8.25,0.239583,Sixteenth,F5
53,Left,1,65,80,8.25,0.239583,Sixteenth,F4
55,Left,1,58,80,8.5,0.489583,Eighth,A#3
54,Right,0,79,80,8.5,0.239583,Sixteenth,G5
56,Left,1,65,80,8.75,0.239583,Sixteenth,F4
57,Right,0,74,80,8.75,0.239583,Sixteenth,D5
58,Left,1,60,80,9.0,0.489583,Eighth,C4
59,Right,0,77,80,9.0,0.239583,Sixteenth,F5
60,Left,1,65,80,9.25,0.239583,Sixteenth,F4
61,Right,0,75,80,9.25,0.239583,Sixteenth,D#5
62,Left,1,57,80,9.5,0.489583,Eighth,A3
63,Right,0,77,80,9.5,0.239583,Sixteenth,F5
