,hand,channel,note,velocity,start_beat,duration,note_value,chord
0,Right,0,51,80,0.0,0.739583,DottedEighth,D#4_D#3
2,Right,0,63,80,0.75,0.239583,Sixteenth,D#4_D#3
4,Left,1,44,80,1.0,3.989583,Whole,G#2_G#1
5,Right,0,51,80,1.0,0.989583,Quarter,G#3_D#4_D#3_B3
10,Right,0,56,80,2.0,0.739583,DottedEighth,G#3_D#4_D#3_B3
14,Right,0,63,80,2.75,0.239583,Sixteenth,G#3_D#4_D#3_B3
18,Right,0,63,80,3.0,0.739583,DottedEighth,G#3_D#4_D#3_B3
22,Left,1,32,80,3.0,1.989583,Half,G#1
23,Right,0,56,80,3.75,0.239583,Sixteenth,G#3_D#4_D#3_B3
27,Right,0,63,80,4.0,0.739583,DottedEighth,G3_D#4_D#3_A#3
31,Right,0,63,80,4.75,0.239583,Sixteenth,G#3_D#4_D#3_B3
36,Right,0,63,80,5.0,2.989583,DottedHalf,D#4_D#3_C#4_A#3
35,Left,1,39,80,5.0,0.739583,DottedEighth,D#2
40,Left,1,39,80,5.75,0.239583,Sixteenth,D#2
41,Left,1,43,80,6.0,0.739583,DottedEighth,G2
42,Left,1,46,80,6.75,0.239583,Sixteenth,A#2
43,Left,1,51,80,7.0,0.989583,Quarter,D#3
46,Right,0,58,80,8.0,0.739583,DottedEighth,G3_D#4_A#3
44,Left,1,49,80,8.0,0.739583,DottedEighth,D#3_C#3
50,Right,0,55,80,8.75,0.239583,Sixteenth,G3_D#4_A#3
49,Left,1,51,80,8.75,0.239583,Sixteenth,D#3_C#3
56,Right,0,59,80,9.0,0.989583,Quarter,G#3_D#4_B3
54,Left,1,47,80,9.0,0.989583,Quarter,D#3_B2
59,Right,0,63,80,10.0,0.739583,DottedEighth,G#3_D#4_B3
61,Left,1,51,80,10.0,0.739583,DottedEighth,G#2_D#3
66,Right,0,63,80,10.75,0.239583,Sixteenth,G#3_D#4_B3
64,Left,1,44,80,10.75,0.239583,Sixteenth,G#2_D#3
69,Left,1,43,80,11.0,0.989583,Quarter,G2_D#3
70,Right,0,58,80,11.0,0.989583,Quarter,D#4_C#4_A#3
