,hand,channel,note,velocity,start_beat,duration,note_value,chord
2,Left,1,52,80,0.0,1.489583,DottedQuarter,E3
0,Right,0,64,80,0.0,2.989583,DottedHalf,G3_E4_B3
5,Left,1,51,80,1.5,0.489583,Eighth,D#3
4,Right,0,63,80,1.5,0.489583,Eighth,D#4
7,Left,1,52,80,2.0,0.989583,Quarter,E3
6,Right,0,64,80,2.0,0.989583,Quarter,E4
11,Left,1,48,80,3.0,2.989583,DottedHalf,E3_C3
8,Right,0,64,80,3.0,2.989583,DottedHalf,G3_E4_C4
14,Left,1,51,94,4.5,0.489583,Eighth,D#3
13,Right,0,63,94,4.5,0.489583,Eighth,D#4
15,Left,1,52,99,5.0,0.989583,Quarter,E3
16,Right,0,64,99,5.0,0.989583,Quarter,E4
17,Left,1,46,100,6.0,3.989583,DottedHalf,G3_A#2
18,Right,0,67,100,6.0,3.989583,DottedHalf,G4_C#4_A#3
23,Left,1,45,80,9.0,2.989583,DottedHalf,A2
22,Right,0,57,80,9.0,2.989583,DottedHalf,C4_A3
25,Right,0,66,80,10.0,0.489583,Eighth,F#4
26,Left,1,54,80,10.0,0.489583,Eighth,F#3
28,Left,1,52,80,10.5,0.489583,Eighth,E3
27,Right,0,64,80,10.5,0.489583,Eighth,E4
29,Left,1,51,80,11.0,0.489583,Eighth,D#3
30,Right,0,63,80,11.0,0.489583,Eighth,D#4
31,Right,0,66,80,11.5,0.489583,Eighth,F#4
32,Left,1,54,80,11.5,0.489583,Eighth,F#3
33,Left,1,52,80,12.0,0.989583,Quarter,G2_E3
35,Right,0,59,80,12.0,0.989583,Quarter,E4_B3
37,Left,1,51,80,13.0,0.989583,Quarter,F#2_D#3
39,Right,0,66,80,13.0,0.989583,Quarter,F#4_B3
41,Right,0,67,80,14.0,0.989583,Quarter,G4_B3
42,Left,1,52,80,14.0,0.989583,Quarter,E3_E2
47,Right,0,71,80,15.0,1.989583,Quarter,F#4_B4
45,Left,1,47,80,15.0,1.989583,Half,D#2_B2
49,Right,0,69,80,16.0,0.989583,Quarter,A4
52,Left,1,47,80,17.0,0.989583,Quarter,E2_B2
50,Right,0,67,80,17.0,0.989583,Quarter,G4_E4
54,Right,0,66,80,18.0,1.989583,Half,F#4_D#4
56,Left,1,35,80,18.0,3.989583,Whole,B2_B1
58,Right,0,69,80,20.0,0.989583,Eighth,E4_A4
60,Left,1,46,80,20.0,0.989583,Quarter,A#2
61,Right,0,67,80,20.5,0.489583,Eighth,G4
63,Right,0,66,80,21.0,0.989583,Quarter,F#4_D#4
62,Left,1,47,80,21.0,0.989583,Quarter,B2
65,Right,0,71,80,23.0,0.989583,Quarter,B4
66,Right,0,67,80,24.0,2.989583,DottedHalf,G4_E5_B4
68,Left,1,64,80,24.0,1.489583,DottedQuarter,E4
70,Left,1,63,80,25.5,0.489583,Eighth,D#4
71,Right,0,75,80,25.5,0.489583,Eighth,D#5
73,Right,0,76,80,26.0,0.989583,Quarter,E5
72,Left,1,64,80,26.0,0.989583,Quarter,E4
74,Left,1,64,80,27.0,2.989583,DottedQuarter,E4_C4
76,Right,0,67,80,27.0,2.989583,DottedHalf,G4_E5_C5
80,Left,1,63,94,28.5,0.489583,Eighth,D#4
79,Right,0,75,94,28.5,0.489583,Eighth,D#5
81,Right,0,76,99,29.0,0.989583,Quarter,E5
82,Left,1,64,99,29.0,0.989583,Quarter,E4
83,Left,1,67,100,30.0,3.989583,Whole,G4_A#3
85,Right,0,73,100,30.0,3.989583,DottedHalf,G5_C#5_A#4
88,Right,0,72,80,33.0,2.989583,DottedHalf,C5_A4
90,Left,1,57,80,33.0,2.989583,DottedHalf,A3
91,Right,0,78,80,34.0,0.489583,Eighth,F#5
92,Left,1,66,80,34.0,0.489583,Eighth,F#4
94,Left,1,64,80,34.5,0.489583,Eighth,E4
93,Right,0,76,80,34.5,0.489583,Eighth,E5
95,Right,0,75,80,35.0,0.489583,Eighth,D#5
96,Left,1,63,80,35.0,0.489583,Eighth,D#4
97,Left,1,66,80,35.5,0.489583,Eighth,F#4
98,Right,0,78,80,35.5,0.489583,Eighth,F#5
100,Right,0,76,80,36.0,0.989583,Quarter,E5_B4
99,Left,1,55,80,36.0,0.989583,Quarter,G3_E4
103,Left,1,54,80,37.0,0.989583,Quarter,F#3_D#4
104,Right,0,71,80,37.0,0.989583,Quarter,F#5_B4
108,Left,1,52,80,38.0,0.989583,Quarter,E4_E3
107,Right,0,71,80,38.0,0.989583,Quarter,G5_B4
113,Left,1,59,80,39.0,1.989583,Half,D#3_B3
111,Right,0,83,80,39.0,1.989583,Quarter,F#5_B5
115,Right,0,81,80,40.0,0.989583,Quarter,A5
116,Right,0,76,80,41.0,0.989583,Quarter,G5_E5
117,Left,1,52,80,41.0,0.989583,Quarter,E3_B3
122,Right,0,79,80,42.0,1.989583,Half,G5_E5
120,Left,1,47,80,42.0,2.989583,DottedHalf,B3_B2
124,Right,0,75,80,44.0,0.989583,Quarter,F#5_D#5
126,Left,1,57,80,44.0,0.989583,Quarter,A3
128,Left,1,55,80,45.0,0.989583,Quarter,G3_E3
127,Right,0,76,80,45.0,0.989583,Quarter,E5
130,Right,0,64,80,48.0,2.989583,DottedHalf,G3_E4_C4
133,Left,1,48,80,48.0,2.989583,DottedHalf,E3_C3
135,Right,0,63,80,49.5,0.489583,Eighth,D#4
136,Right,0,64,80,50.0,0.989583,Quarter,E4
137,Right,0,62,100,51.0,2.989583,DottedHalf,G4_D4_B3
138,Left,1,55,100,51.0,2.989583,DottedHalf,G3_G2
142,Right,0,65,80,54.0,2.989583,DottedHalf,F4_D4_A3
144,Left,1,53,80,54.0,2.989583,DottedHalf,F3_D3
147,Right,0,64,80,55.5,0.489583,Eighth,E4
148,Right,0,65,80,56.0,0.989583,Quarter,F4
150,Right,0,67,100,57.0,2.989583,DottedHalf,G4_D4
149,Left,1,55,100,57.0,2.989583,DottedHalf,G3_B2
153,Left,1,48,80,60.0,2.989583,DottedHalf,E3_C3
155,Right,0,55,80,60.0,2.989583,DottedHalf,G3_E4_C4
158,Right,0,63,80,61.5,0.489583,Eighth,D#4
159,Right,0,64,80,62.0,0.989583,Quarter,E4
160,Right,0,62,80,63.0,2.989583,DottedHalf,G4_D4_B3
161,Left,1,50,80,63.0,2.989583,DottedHalf,G2_D3
165,Right,0,67,80,65.0,0.989583,Quarter,G4
168,Right,0,67,80,66.0,2.989583,DottedHalf,G4_D4_A3
166,Left,1,50,80,66.0,2.989583,DottedHalf,D3_D2
171,Right,0,66,80,68.0,0.989583,Quarter,F#4
172,Right,0,62,80,69.0,0.989583,Quarter,G4_D4_B3
174,Left,1,43,80,69.0,0.989583,Quarter,G2_G1
