,hand,channel,note,velocity,start_beat,duration,note_value,chord
2,Left,1,40,80,0.0,1.979167,Quarter,E3_E2
0,Right,0,68,80,0.0,1.979167,DottedSixteenth,G#4_B3
4,Right,0,66,80,0.75,0.229167,ThirtySecond,F#4
5,Right,0,68,80,1.0,0.479167,Sixteenth,G#4
6,Right,0,69,80,1.5,0.479167,Sixteenth,A4
9,Left,1,45,80,2.0,0.979167,Eighth,D#3_A2
7,Right,0,66,80,2.0,0.979167,Eighth,F#4_B3
11,Left,1,52,80,4.0,1.979167,Quarter,G#2_E3
13,Right,0,64,80,4.0,1.979167,DottedSixteenth,E4_B3
15,Right,0,63,80,4.75,0.229167,ThirtySecond,D#4
16,Right,0,64,80,5.0,0.479167,Sixteenth,E4
17,Right,0,66,80,5.5,0.479167,Sixteenth,F#4
18,Left,1,51,80,6.0,0.979167,Eighth,F#2_D#3
20,Right,0,63,80,6.0,0.979167,Eighth,D#4_B3_A3
23,Right,0,59,80,7.5,0.479167,Sixteenth,B3
25,Right,0,59,80,8.0,0.479167,Sixteenth,E4_B3
24,Left,1,56,80,8.0,0.479167,Sixteenth,G#3
27,Right,0,59,80,8.5,0.479167,Sixteenth,F#4_B3
28,Left,1,51,80,8.5,0.479167,Sixteenth,D#3
30,Right,0,64,80,9.0,0.479167,Sixteenth,G#4_E4_B3
31,Left,1,52,80,9.0,0.479167,Sixteenth,E3
37,Left,1,57,80,9.5,0.479167,Sixteenth,A3_A2
34,Right,0,61,80,9.5,0.479167,Sixteenth,F#4_C#4_A4
41,Left,1,47,80,10.0,0.979167,Eighth,B3_B2
39,Right,0,63,80,10.0,0.979167,Eighth,F#4_D#4
45,Left,1,45,80,11.5,0.479167,Sixteenth,F#3_A2
43,Right,0,63,80,11.5,0.479167,Sixteenth,D#4_B4
47,Right,0,71,80,12.0,0.479167,Sixteenth,E4_B4
49,Left,1,56,80,12.0,0.479167,Sixteenth,G#3_G#2
51,Left,1,51,80,12.5,0.479167,Sixteenth,F#2_D#3
52,Right,0,59,80,12.5,0.479167,Sixteenth,B3_A4
57,Right,0,59,80,13.0,0.479167,Sixteenth,G#4_B3
55,Left,1,52,80,13.0,0.479167,Sixteenth,E3_E2
59,Left,1,57,80,13.5,0.229167,ThirtySecond,A3_A2
61,Right,0,73,80,13.5,0.229167,ThirtySecond,C#5_C#4
64,Left,1,54,80,13.75,0.229167,ThirtySecond,F#3
63,Right,0,69,80,13.75,0.229167,ThirtySecond,A4
65,Left,1,51,80,14.0,0.979167,Eighth,D#3_B2
67,Right,0,66,80,14.0,0.979167,Eighth,F#4_B3
70,Right,0,69,80,16.0,1.979167,DottedSixteenth,C#4_A4
69,Left,1,42,80,16.0,1.979167,Quarter,F#3_F#2
73,Right,0,68,80,16.75,0.229167,ThirtySecond,G#4
74,Right,0,69,80,17.0,0.479167,Sixteenth,A4
75,Right,0,71,80,17.5,0.479167,Sixteenth,B4
78,Left,1,53,80,18.0,0.979167,Eighth,F3_B2
76,Right,0,61,80,18.0,0.979167,Eighth,G#4_C#4
80,Right,0,66,80,20.0,1.979167,DottedSixteenth,F#4_C#4
82,Left,1,45,80,20.0,1.979167,Quarter,C#3_A3_A2
85,Right,0,65,80,20.75,0.229167,ThirtySecond,F4
86,Right,0,66,80,21.0,0.479167,Sixteenth,F#4
87,Right,0,68,80,21.5,0.479167,Sixteenth,G#4
88,Left,1,56,80,22.0,0.979167,Eighth,G#3_G#2_C#3
89,Right,0,65,80,22.0,0.979167,Eighth,F4_C#4_B3
94,Right,0,64,80,23.5,0.979167,Eighth,E4_A#4
95,Left,1,61,80,23.5,0.979167,Eighth,F#3_C#4
98,Right,0,71,80,24.5,0.479167,Sixteenth,D#4_B4
99,Left,1,47,80,24.5,0.479167,Sixteenth,B3_B2
102,Right,0,62,80,25.5,0.979167,Eighth,G#4_D4
103,Left,1,52,80,25.5,0.979167,Eighth,E3_B3
108,Right,0,69,80,26.5,0.479167,Sixteenth,C#4_A4
106,Left,1,57,80,26.5,0.479167,Sixteenth,A3_A2
112,Right,0,61,80,27.5,0.479167,Sixteenth,F#4_C#4
110,Left,1,57,80,27.5,0.479167,Sixteenth,A3_A2
117,Left,1,47,80,28.0,1.979167,Quarter,B2
114,Right,0,56,80,28.0,0.979167,Eighth,G#3_E4_B3
118,Right,0,66,80,29.0,0.979167,Eighth,F#4_D#4_A3
123,Right,0,68,80,30.0,0.979167,Eighth,G#4_E4_B3
121,Left,1,52,80,30.0,0.979167,Eighth,E3_E2
126,Left,1,52,80,31.5,0.979167,Eighth,E3_A#3
128,Right,0,78,80,32.0,0.979167,Eighth,F#5_F#4
130,Left,1,51,80,32.5,0.479167,Sixteenth,D#3_B3
132,Right,0,71,80,33.0,0.479167,Sixteenth,B5_B4
134,Left,1,50,80,33.5,0.979167,Eighth,G#3_D3
136,Right,0,76,80,34.0,0.979167,Eighth,E5_E4
138,Left,1,57,80,34.5,0.479167,Sixteenth,C#3_A3
140,Right,0,69,80,35.0,0.479167,Sixteenth,A5_A4
142,Right,0,72,80,36.75,0.229167,ThirtySecond,C5
143,Right,0,73,80,37.0,0.229167,ThirtySecond,C#5
144,Right,0,68,80,37.25,0.229167,ThirtySecond,G#4
145,Right,0,69,80,37.5,0.354167,TripletSixteenth,A4
146,Right,0,66,80,37.864583,0.104167,SixtyFourth,F#4
150,Left,1,35,80,38.0,1.979167,Quarter,B2_B1
147,Right,0,54,80,38.0,1.979167,Quarter,F#3_C#4_A3
152,Right,0,63,80,39.0,0.979167,Eighth,D#4
153,Left,1,40,80,40.0,1.979167,Quarter,E3_E2
155,Right,0,64,80,40.25,0.479167,Sixteenth,E4
156,Right,0,67,80,40.5,0.479167,Sixteenth,G4
157,Right,0,71,80,40.75,0.479167,Sixteenth,B4
158,Right,0,72,80,41.0,0.479167,Sixteenth,C5
159,Right,0,71,80,41.25,0.479167,Sixteenth,B4
160,Right,0,64,80,41.5,0.479167,Sixteenth,E4
161,Right,0,71,80,41.75,0.479167,Sixteenth,B4
162,Left,1,55,80,42.0,1.979167,Quarter,G3_G2
164,Right,0,64,80,42.25,0.479167,Sixteenth,E4
165,Right,0,67,80,42.5,0.479167,Sixteenth,G4
