,hand,channel,note,velocity,start_beat,duration,note_value,chord
1,Left,1,36,80,0.0,0.989583,Quarter,G2_C3_C2
0,Right,0,64,80,0.0,0.989583,Quarter,G3_E4_C4
7,Left,1,43,80,1.0,0.489583,Eighth,G2_B2_B1
6,Right,0,62,80,1.0,0.489583,Eighth,G3_F4_D4
12,Left,1,43,80,3.0,0.989583,Quarter,G2_B2_B1
15,Right,0,55,80,3.0,0.989583,Quarter,G4_G3
17,Right,0,62,80,3.75,0.239583,Sixteenth,D4
20,Left,1,48,80,4.0,0.489583,Eighth,G2_C3_C2
18,Right,0,55,80,4.0,0.489583,Eighth,G3_E4
27,Left,1,48,80,6.0,0.989583,Quarter,C3_C2
23,Right,0,60,80,6.0,0.989583,Quarter,G3_E4_E3_C4
29,Left,1,42,80,7.0,0.489583,Eighth,F#2_F#1
30,Right,0,50,80,7.0,0.489583,Eighth,D4_D3_A3
34,Left,1,42,80,9.0,0.989583,Quarter,F#2_F#1
36,Right,0,50,80,9.0,0.989583,Quarter,D4_D3
38,Right,0,57,80,9.75,0.239583,Sixteenth,A3
40,Left,1,29,80,10.0,1.989583,Half,F2_F1
39,Right,0,60,92,10.0,1.989583,Half,G3_D3_C4
44,Right,0,59,80,11.5,0.489583,Eighth,B3
45,Left,1,40,80,12.0,0.989583,Quarter,E2
46,Right,0,60,80,12.0,0.989583,Quarter,G3_E3_C4
49,Right,0,62,80,13.0,0.989583,Quarter,G3_F3_D4_B3
52,Left,1,50,80,13.0,0.989583,Quarter,D3_D2
55,Right,0,64,80,14.0,0.989583,Quarter,G3_E4_C4
57,Left,1,36,80,14.0,0.989583,Quarter,C3_C2
60,Right,0,64,80,15.0,1.989583,Quarter,G3_E4_A3
61,Left,1,41,80,15.0,2.989583,DottedHalf,F2_F1
65,Right,0,62,80,16.0,0.989583,Quarter,F3_D4
67,Right,0,60,80,17.0,0.989583,Quarter,E3_C4_A3
70,Left,1,43,80,18.0,1.989583,Half,G2_G1
72,Right,0,57,80,18.0,2.489583,Half,D3_B3_A3
75,Right,0,55,80,19.0,0.489583,Eighth,G3
76,Right,0,56,94,19.5,0.489583,Eighth,G#3
78,Left,1,43,80,20.0,0.989583,Quarter,G2_G1
77,Right,0,55,80,20.0,0.489583,Eighth,G3
80,Right,0,59,80,20.5,0.489583,Eighth,F3_D3_B3
86,Left,1,43,80,21.0,1.489583,Quarter,G2_C2
83,Right,0,62,80,21.0,0.989583,Quarter,F3_D4_B3
89,Right,0,52,80,22.0,0.489583,Eighth,E3_C4
88,Left,1,48,80,22.0,0.489583,Eighth,C3
91,Right,0,60,80,23.75,0.239583,Sixteenth,C4
92,Right,0,67,80,24.0,0.739583,DottedEighth,G4
93,Right,0,66,80,24.75,0.239583,Sixteenth,F#4
96,Right,0,60,80,25.0,0.989583,Quarter,F#4_D5_C4
94,Left,1,50,80,25.0,0.989583,Quarter,D3_A3_A2
100,Right,0,74,80,26.0,0.989583,Quarter,F#4_D5_C4
101,Left,1,45,80,26.0,0.989583,Quarter,D3_A3_A2
106,Left,1,59,80,27.0,1.989583,Half,G2_D3_B3
109,Right,0,74,80,27.0,0.989583,Quarter,G4_D5_D4_B4
113,Right,0,76,80,27.5,0.239583,Sixteenth,E5
114,Right,0,74,80,27.625,0.239583,Sixteenth,D5
115,Right,0,73,80,27.75,0.239583,Sixteenth,C#5
116,Right,0,74,80,27.875,0.239583,Sixteenth,D5
117,Right,0,79,99,28.0,0.739583,DottedEighth,G5
118,Right,0,71,80,28.75,0.239583,Sixteenth,B4
119,Right,0,72,80,29.0,0.239583,Sixteenth,C5
120,Right,0,73,80,29.25,0.239583,Sixteenth,C#5
121,Right,0,76,80,29.5,0.239583,Sixteenth,E5
122,Right,0,74,80,29.75,0.239583,Sixteenth,D5
123,Right,0,67,80,30.0,0.739583,DottedEighth,G4
124,Right,0,66,80,30.75,0.239583,Sixteenth,F#4
128,Right,0,74,80,31.0,0.989583,Quarter,F#4_D5_C4
125,Left,1,45,80,31.0,0.989583,Quarter,D3_A3_A2
132,Left,1,57,80,32.0,0.989583,Quarter,D3_A3_A2
131,Right,0,60,80,32.0,0.989583,Quarter,F#4_D5_C4
137,Left,1,59,80,33.0,1.989583,Half,G2_D3_B3
140,Right,0,71,80,33.0,0.989583,Quarter,G4_D5_D4_B4
144,Right,0,76,80,33.5,0.239583,Sixteenth,E5
145,Right,0,74,80,33.625,0.239583,Sixteenth,D5
146,Right,0,73,80,33.75,0.239583,Sixteenth,C#5
147,Right,0,74,80,33.875,0.239583,Sixteenth,D5
148,Right,0,83,101,34.0,0.739583,DottedEighth,B5
149,Right,0,79,80,34.75,0.239583,Sixteenth,G5
150,Right,0,78,80,35.0,0.239583,Sixteenth,F#5
151,Right,0,79,80,35.125,0.239583,Sixteenth,G5
152,Right,0,81,80,35.25,0.239583,Sixteenth,A5
153,Right,0,79,80,35.375,0.239583,Sixteenth,G5
154,Right,0,73,80,35.5,0.239583,Sixteenth,C#5
155,Right,0,74,80,35.625,0.239583,Sixteenth,D5
156,Right,0,76,80,35.75,0.239583,Sixteenth,E5
157,Right,0,74,80,35.875,0.239583,Sixteenth,D5
158,Right,0,67,80,36.0,0.739583,DottedEighth,G4
159,Right,0,66,85,36.75,0.239583,Sixteenth,F#4
160,Right,0,74,87,37.0,0.989583,Quarter,F#4_D5_C4
163,Left,1,50,87,37.0,0.989583,Quarter,D3_A3_A2
166,Right,0,74,90,37.5,0.989583,Quarter,D5
167,Right,0,65,93,38.0,0.989583,Quarter,F4_C4
169,Left,1,44,93,38.0,0.989583,Quarter,G#3_G#2_D3
172,Left,1,43,99,39.0,0.489583,Eighth,G2
173,Left,1,47,100,39.0625,0.427083,DottedSixteenth,B2
174,Left,1,50,100,39.125,0.364583,DottedSixteenth,D3
175,Left,1,53,80,39.1875,0.302083,Triplet,F3
176,Left,1,55,80,39.25,0.239583,Sixteenth,G3
177,Right,0,74,95,39.375,0.114583,ThirtySecond,D5
178,Right,0,76,100,39.4375,0.114583,ThirtySecond,E5
179,Right,0,77,101,39.5,0.739583,DottedEighth,F5
180,Left,1,55,80,40.0,0.489583,Eighth,G3
181,Left,1,59,80,40.0625,0.427083,DottedSixteenth,B3
182,Left,1,62,80,40.125,0.364583,DottedSixteenth,D4
183,Left,1,65,80,40.1875,0.302083,Triplet,F4
184,Right,0,76,80,40.375,0.114583,ThirtySecond,E5
185,Right,0,74,80,40.5,0.239583,Sixteenth,D5
186,Right,0,72,80,40.875,0.114583,ThirtySecond,C5
187,Right,0,71,80,41.0,0.239583,Sixteenth,B4
188,Right,0,69,80,41.375,0.114583,ThirtySecond,A4
189,Right,0,67,80,41.5,0.239583,Sixteenth,G4
190,Right,0,65,80,41.875,0.114583,ThirtySecond,F4
191,Left,1,48,80,42.0,0.989583,Quarter,C3_C2
193,Right,0,55,80,42.0,0.989583,Quarter,G3_E4
196,Right,0,55,80,43.0,0.489583,Eighth,G3_F4
195,Left,1,50,80,43.0,0.489583,Eighth,D3_B1
199,Right,0,67,80,45.0,0.989583,DottedEighth,G4_G3
200,Left,1,35,80,45.0,0.989583,Quarter,G2_B2_B1
204,Right,0,62,80,45.75,0.239583,Sixteenth,D4
205,Right,0,55,80,46.0,0.489583,Eighth,G3_E4
206,Left,1,36,80,46.0,0.489583,Eighth,G2_C3_C2
213,Right,0,57,80,48.0,0.989583,Quarter,A4_A3
210,Left,1,49,80,48.0,0.989583,Quarter,C#3_C#2_A2
215,Right,0,64,80,48.75,0.239583,Sixteenth,E4
217,Right,0,65,80,49.0,0.739583,DottedEighth,F4_A3
216,Left,1,38,80,49.0,0.989583,Eighth,D3_D2
220,Left,1,53,80,49.5,0.989583,Eighth,F3_A#3
222,Right,0,70,80,49.75,0.114583,ThirtySecond,A#4
223,Right,0,69,80,49.875,0.114583,ThirtySecond,A4
226,Right,0,67,80,50.0,0.739583,DottedEighth,G4
224,Left,1,55,80,50.0,0.989583,Quarter,G3_E3
227,Left,1,60,80,50.5,0.989583,Quarter,C4
228,Right,0,72,80,50.75,0.114583,ThirtySecond,C5
229,Right,0,70,80,50.875,0.114583,ThirtySecond,A#4
230,Right,0,69,80,51.0,0.739583,DottedEighth,A4
231,Left,1,57,80,51.0,0.989583,Quarter,F3_A3
233,Left,1,62,80,51.5,0.989583,Quarter,F#3_D4
235,Right,0,74,80,51.75,0.114583,ThirtySecond,D5
236,Right,0,72,80,51.875,0.114583,ThirtySecond,C5
238,Right,0,71,80,52.0,0.489583,Eighth,B4
237,Left,1,55,80,52.0,0.489583,Eighth,G3_B3
242,Left,1,59,80,52.5,0.989583,Quarter,G#3_D4_B3
240,Right,0,77,80,52.5,0.989583,Quarter,F5_F4
245,Left,1,57,80,53.0,0.989583,Quarter,A3
248,Left,1,60,80,53.5,0.489583,Eighth,C4
246,Right,0,76,80,53.5,0.489583,Eighth,E5_E4
251,Left,1,54,80,54.0,0.989583,Quarter,F#3
249,Right,0,62,80,54.0,0.989583,Quarter,D4_C4
252,Right,0,69,80,54.875,0.114583,ThirtySecond,A4
256,Left,1,55,80,55.0,0.989583,Quarter,G3
253,Right,0,67,80,55.0,0.989583,Quarter,G4_E4_C4
257,Right,0,67,80,55.875,0.114583,ThirtySecond,G4
258,Right,0,67,80,56.0,0.989583,Quarter,G4_F3_D4_B3
260,Left,1,31,80,56.0,0.989583,Quarter,G2_G1
264,Right,0,67,80,56.875,0.114583,ThirtySecond,G4
267,Left,1,34,80,57.0,0.989583,Quarter,A#2_A#1
265,Right,0,52,80,57.0,0.989583,Quarter,G3_E3_C#4
270,Right,0,52,110,58.5,0.239583,Sixteenth,G3_E3_C#4
273,Left,1,45,110,58.5,0.239583,Sixteenth,A2_A1
278,Right,0,53,110,59.0,0.239583,Sixteenth,F3_D4_A3
275,Left,1,38,110,59.0,0.239583,Sixteenth,D3_D2_A2
281,Left,1,37,110,59.5,0.239583,Sixteenth,C#3_C#2_A2
282,Right,0,57,110,59.5,0.239583,Sixteenth,E4_E3_A3
287,Right,0,52,110,61.5,0.239583,Sixteenth,E4_E3_A3
