,hand,channel,note,velocity,start_beat,duration,note_value,chord
0,Right,0,79,80,0.5,0.489583,Eighth,G5
1,Right,0,78,80,1.0,0.489583,Eighth,F#5
2,Right,0,79,80,1.5,0.489583,Eighth,G5
3,Right,0,81,80,2.0,0.989583,Quarter,A5
4,Right,0,79,80,3.0,0.989583,Quarter,G5
5,Right,0,77,80,4.0,0.989583,Quarter,F5
6,Right,0,76,80,5.0,0.989583,Quarter,E5
7,Right,0,74,80,6.0,0.989583,Quarter,D5
8,Left,1,64,80,6.5,0.489583,Eighth,E4
10,Right,0,72,80,7.0,0.989583,Quarter,C5
9,Left,1,62,80,7.0,0.489583,Eighth,D4
11,Left,1,64,80,7.5,0.489583,Eighth,E4
12,Left,1,65,80,8.0,0.989583,Quarter,F4
13,Right,0,71,80,8.0,2.989583,DottedHalf,B4
14,Left,1,62,80,9.0,0.989583,Quarter,D4
15,Left,1,67,80,10.0,0.989583,Quarter,G4
16,Right,0,72,80,11.0,2.989583,DottedHalf,E4_C5
18,Right,0,62,80,12.0,0.989583,Quarter,D4
19,Left,1,55,80,12.5,0.489583,Eighth,G3
20,Right,0,60,80,13.0,0.989583,Quarter,C4
21,Left,1,54,80,13.0,0.489583,Eighth,F#3
22,Left,1,55,80,13.5,0.489583,Eighth,G3
23,Left,1,57,80,14.0,0.989583,Quarter,A3
24,Right,0,74,80,14.0,2.989583,DottedHalf,G4_D5_B4
27,Left,1,55,80,15.0,0.989583,Quarter,G3
28,Left,1,53,80,16.0,0.989583,Quarter,F3
32,Left,1,52,80,17.0,0.989583,Quarter,E3
29,Right,0,67,80,17.0,2.989583,DottedHalf,G4_E5_C5
33,Left,1,50,80,18.0,0.989583,Quarter,D3
34,Left,1,48,80,19.0,0.989583,Quarter,C3
36,Right,0,67,80,20.0,0.989583,Quarter,G5_G4_D5
35,Left,1,47,80,20.0,0.989583,Quarter,B2
40,Right,0,71,80,21.0,0.989583,Quarter,G4_F5_B4
39,Left,1,43,80,21.0,0.989583,Quarter,G2
43,Right,0,67,80,22.0,0.989583,Quarter,G4_E5_C5
46,Left,1,48,80,22.0,0.989583,Quarter,C3
47,Right,0,67,80,23.0,0.989583,Quarter,G4_D5_B4
50,Left,1,43,80,23.0,0.989583,Quarter,G2
51,Left,1,74,80,24.5,0.489583,Eighth,D5
52,Left,1,73,80,25.0,0.489583,Eighth,C#5
53,Left,1,74,80,25.5,0.489583,Eighth,D5
54,Left,1,75,80,26.0,0.989583,Quarter,D#5
55,Left,1,74,80,27.0,0.989583,Quarter,D5
56,Right,0,78,80,27.5,0.489583,Eighth,F#5
57,Left,1,72,80,28.0,0.989583,Quarter,C5
58,Right,0,76,80,28.0,0.489583,Eighth,E5
59,Right,0,78,80,28.5,0.489583,Eighth,F#5
60,Right,0,79,80,29.0,0.989583,Quarter,G5
61,Left,1,70,80,29.0,0.989583,Quarter,A#4
62,Left,1,69,80,30.0,0.989583,Quarter,A4
63,Right,0,79,80,30.5,0.489583,Eighth,G5
65,Right,0,78,80,31.0,0.489583,Eighth,F#5
64,Left,1,67,80,31.0,0.989583,Quarter,G4
66,Right,0,79,80,31.5,0.489583,Eighth,G5
67,Right,0,81,80,32.0,0.989583,Quarter,A5
68,Left,1,66,80,32.0,0.989583,Quarter,F#4_D#4
70,Left,1,62,80,33.0,0.989583,Quarter,D4
71,Right,0,81,80,33.5,0.489583,Eighth,A5
72,Left,1,60,80,34.0,0.989583,Quarter,C4
73,Right,0,79,80,34.0,0.489583,Eighth,G5
74,Right,0,81,80,34.5,0.489583,Eighth,A5
76,Left,1,58,80,35.0,0.989583,Quarter,A#3
75,Right,0,82,80,35.0,0.989583,Quarter,A#5
77,Left,1,57,87,36.0,0.989583,Quarter,A3
78,Right,0,82,91,36.5,0.489583,Eighth,A#5
79,Right,0,81,95,37.0,0.489583,Eighth,A5
80,Left,1,55,95,37.0,0.989583,Quarter,G3
81,Right,0,82,99,37.5,0.489583,Eighth,A#5
82,Right,0,85,110,38.0,0.989583,Quarter,C#6
83,Left,1,58,110,38.0,0.989583,Quarter,A#3_A#2
85,Left,1,45,110,39.0,0.989583,Quarter,A3_A2
87,Right,0,85,110,39.5,0.489583,Eighth,C#6
