,hand,channel,note,velocity,start_beat,duration,note_value,chord
1,Left,1,48,110,0.0,1.489583,DottedQuarter,G3_D#3_C4_C3
0,Right,0,72,110,0.0,1.489583,DottedQuarter,G4_D#4_C5
7,Right,0,67,110,1.75,0.239583,Sixteenth,G4
8,Right,0,75,110,2.0,0.739583,DottedEighth,D#5
9,Right,0,72,110,2.75,0.239583,Sixteenth,C5
10,Right,0,79,110,3.0,0.739583,DottedEighth,G5
11,Right,0,75,110,3.75,0.239583,Sixteenth,D#5
12,Right,0,84,110,4.0,0.739583,DottedEighth,C6
13,Right,0,79,110,4.75,0.239583,Sixteenth,G5
14,Right,0,87,110,5.0,0.989583,Quarter,D#6
15,Right,0,87,110,6.0,0.989583,Quarter,D#6
18,Right,0,72,80,8.0,0.989583,Quarter,G4_C5
16,Left,1,60,80,8.0,0.989583,Quarter,D#4_C4
21,Right,0,72,80,9.0,1.989583,Half,G4_C5
20,Left,1,60,80,9.0,1.989583,Half,D#4_C4
24,Left,1,62,80,11.0,0.989583,Quarter,F4_D4
26,Right,0,67,80,11.0,0.989583,Quarter,G4_B4
28,Left,1,50,110,12.0,1.489583,DottedQuarter,G#3_F3_D4_D3_B3
29,Right,0,65,110,12.0,1.489583,DottedQuarter,G#4_F4_B4
36,Right,0,71,110,13.75,0.239583,Sixteenth,B4
37,Right,0,77,110,14.0,0.739583,DottedEighth,F5
38,Right,0,74,110,14.75,0.239583,Sixteenth,D5
39,Right,0,83,110,15.0,0.739583,DottedEighth,B5
40,Right,0,77,110,15.75,0.239583,Sixteenth,F5
41,Right,0,86,110,16.0,0.739583,DottedEighth,D6
42,Right,0,83,110,16.75,0.239583,Sixteenth,B5
43,Right,0,89,110,17.0,0.989583,Quarter,F6
44,Right,0,89,110,18.0,0.989583,Quarter,F6
45,Left,1,65,80,20.0,0.989583,Quarter,G#4_F4_D4
47,Right,0,71,80,20.0,0.989583,Quarter,D5_B4
53,Right,0,74,81,21.0,1.989583,Half,D5_B4
50,Left,1,62,81,21.0,1.989583,Half,G#4_F4_D4
55,Left,1,63,83,23.0,0.989583,Quarter,G4_D#4
57,Right,0,72,83,23.0,0.989583,Quarter,C5
58,Right,0,72,85,24.0,0.239583,Sixteenth,C5
59,Right,0,75,85,24.125,0.114583,ThirtySecond,D#5
60,Right,0,79,85,24.25,1.239583,TiedQuarter-Sixteenth,G5
61,Right,0,77,87,25.5,0.489583,Eighth,F5
65,Right,0,75,87,26.0,0.989583,Quarter,D#5
62,Left,1,60,87,26.0,0.989583,Quarter,G3_D#3_C4
66,Right,0,74,89,27.0,1.989583,Half,D5
67,Left,1,56,89,27.0,1.989583,Half,G#3_F3_B3
71,Right,0,72,91,29.0,0.989583,Quarter,C5
70,Left,1,60,91,29.0,0.989583,Quarter,G3_D#3_C4
74,Right,0,67,93,30.0,0.239583,Sixteenth,G4
75,Right,0,72,93,30.125,0.239583,Sixteenth,C5
76,Right,0,75,93,30.25,0.114583,ThirtySecond,D#5
77,Right,0,79,93,30.375,1.114583,TiedQuarter-ThirtySecond,G5
78,Right,0,77,95,31.5,0.489583,Eighth,F5
79,Left,1,63,95,32.0,0.989583,Quarter,D#4_C4
81,Right,0,75,95,32.0,0.989583,Quarter,D#5
84,Left,1,62,97,33.0,1.989583,Half,F4_D4
82,Right,0,71,97,33.0,1.989583,Half,D5_B4
88,Right,0,72,99,35.0,0.989583,Quarter,C5
86,Left,1,60,99,35.0,0.989583,Quarter,D#4_C4
89,Right,0,67,100,36.0,0.239583,Sixteenth,G4
90,Right,0,72,100,36.125,0.239583,Sixteenth,C5
91,Right,0,75,100,36.25,0.114583,ThirtySecond,D#5
92,Right,0,67,113,36.375,1.114583,TiedQuarter-ThirtySecond,G5_G4
94,Right,0,65,100,37.5,0.489583,Eighth,F5_F4
96,Right,0,75,100,38.0,1.989583,Half,D#5_D#4
98,Left,1,60,100,38.0,0.989583,Quarter,G3_D#3_C4
101,Left,1,59,100,39.0,1.989583,Half,G#3_F3_B3
104,Right,0,62,100,40.0,0.989583,Quarter,D5_D4
107,Left,1,55,100,41.0,0.989583,Quarter,G3_D#3
106,Right,0,60,100,41.0,1.989583,Half,C5_C4
110,Left,1,50,100,42.0,1.989583,Half,F3_D3
112,Right,0,59,100,43.0,0.989583,Quarter,B4_B3
116,Left,1,51,100,44.0,0.989583,Quarter,D#3_C3
114,Right,0,68,100,44.0,1.989583,Half,G#4_G#3
118,Left,1,50,100,45.0,0.989583,Quarter,D3_B2
120,Right,0,67,100,46.0,0.989583,Quarter,G4_G3
122,Right,0,59,70,49.0,0.322917,Triplet,B3
123,Right,0,62,70,49.333333,0.322917,Triplet,D4
124,Right,0,65,70,49.666667,0.322917,Triplet,F4
125,Left,1,53,70,50.0,0.989583,Quarter,G#3_F3_D3_A#2
127,Right,0,68,70,50.0,0.322917,Triplet,G#4
130,Right,0,67,70,50.333333,0.322917,Triplet,G4
131,Right,0,65,70,50.666667,0.322917,Triplet,F4
132,Left,1,48,70,51.0,0.989583,Quarter,G3_D#3_C3
133,Right,0,63,70,51.0,0.989583,Quarter,D#4
136,Right,0,53,70,55.0,0.322917,Triplet,F3
137,Right,0,56,70,55.333333,0.322917,Triplet,G#3
138,Right,0,60,70,55.666667,0.322917,Triplet,C4
139,Left,1,50,70,56.0,0.989583,Quarter,G#2_F2_D3
142,Right,0,65,70,56.0,0.322917,Triplet,F4
143,Right,0,63,70,56.333333,0.322917,Triplet,D#4
144,Right,0,62,70,56.666667,0.322917,Triplet,D4
146,Left,1,43,70,57.0,0.989583,Quarter,G2_D#3_C3
145,Right,0,60,70,57.0,0.989583,Quarter,C4
149,Right,0,55,120,61.0,0.322917,Triplet,G3
150,Right,0,59,120,61.333333,0.322917,Triplet,B3
151,Right,0,62,120,61.666667,0.322917,Triplet,D4
152,Left,1,31,120,62.0,0.989583,Quarter,G2_G1
154,Right,0,65,120,62.0,0.322917,Triplet,F4
155,Right,0,62,120,62.333333,0.322917,Triplet,D4
156,Right,0,59,120,62.666667,0.322917,Triplet,B3
158,Left,1,36,120,63.0,1.489583,DottedQuarter,G2_D#2_C3_C2
157,Right,0,55,120,63.0,1.489583,DottedQuarter,G3_D#3_C4
164,Right,0,60,120,64.75,0.239583,Sixteenth,C4
165,Right,0,67,120,65.0,0.739583,DottedEighth,G4
166,Right,0,63,120,65.75,0.239583,Sixteenth,D#4
167,Right,0,72,120,66.0,0.739583,DottedEighth,C5
168,Right,0,67,120,66.75,0.239583,Sixteenth,G4
169,Right,0,75,120,67.0,0.739583,DottedEighth,D#5
170,Right,0,72,120,67.75,0.239583,Sixteenth,C5
173,Left,1,51,120,68.0,0.989583,Quarter,G3_D#3_C3
171,Right,0,79,120,68.0,0.989583,Quarter,G5_G4
176,Left,1,55,120,69.0,0.989583,Quarter,G3_D3_B2
177,Right,0,67,120,69.0,0.989583,Quarter,G5_G4
181,Right,0,59,120,70.75,0.239583,Sixteenth,B3
182,Right,0,67,120,71.0,0.739583,DottedEighth,G4
183,Right,0,62,120,71.75,0.239583,Sixteenth,D4
184,Right,0,71,120,72.0,0.739583,DottedEighth,B4
185,Right,0,67,120,72.75,0.239583,Sixteenth,G4
186,Right,0,74,120,73.0,0.739583,DottedEighth,D5
187,Right,0,71,120,73.75,0.239583,Sixteenth,B4
188,Right,0,79,120,74.0,0.989583,Quarter,G5_G4
190,Left,1,50,120,74.0,0.989583,Quarter,G3_D3_B2
193,Left,1,51,120,75.0,0.989583,Quarter,G3_D#3_C3
196,Right,0,67,120,75.0,0.989583,Quarter,G5_G4
198,Right,0,63,120,76.75,0.239583,Sixteenth,D#4
199,Right,0,67,120,77.0,0.739583,DottedEighth,G4
200,Right,0,63,120,77.75,0.239583,Sixteenth,D#4
201,Right,0,72,120,78.0,0.739583,DottedEighth,C5
202,Right,0,67,120,78.75,0.239583,Sixteenth,G4
203,Right,0,75,120,79.0,0.739583,DottedEighth,D#5
204,Right,0,72,120,79.75,0.239583,Sixteenth,C5
208,Right,0,79,120,80.0,0.739583,DottedEighth,G5
205,Left,1,60,120,80.0,0.989583,Quarter,G3_D#3_C4
209,Right,0,75,120,80.75,0.239583,Sixteenth,D#5
213,Right,0,74,120,81.0,0.989583,Quarter,D5
210,Left,1,56,120,81.0,0.989583,Quarter,G#3_F3_D4
214,Right,0,89,120,82.0,0.989583,Quarter,F6
216,Left,1,55,120,84.0,0.989583,Quarter,G3_D4_B3
215,Right,0,71,120,84.0,0.989583,Quarter,B4
219,Right,0,86,120,85.0,0.989583,Quarter,D6
224,Right,0,72,120,87.0,0.989583,Quarter,C5
220,Left,1,48,120,87.0,0.989583,Quarter,G3_D#3_C4_C3
225,Right,0,84,120,88.0,0.989583,Quarter,C6
226,Left,1,63,105,93.0,8.989583,Unknown,D#4
227,Left,1,61,80,96.0,2.989583,DottedHalf,C#4
228,Right,0,67,80,97.0,1.989583,Half,G4
229,Right,0,75,80,98.0,0.989583,Quarter,D#5
230,Right,0,68,80,99.0,2.989583,DottedHalf,G#4_D#5
232,Left,1,60,80,99.0,2.989583,DottedHalf,C4
233,Right,0,75,80,101.0,1.989583,Half,D#5
234,Right,0,67,80,102.0,2.989583,DottedHalf,G4
235,Left,1,61,80,102.0,2.989583,DottedHalf,C#4_A#3
237,Right,0,77,80,103.0,0.989583,Quarter,F5
238,Right,0,73,80,104.0,1.989583,Half,C#5
239,Left,1,63,80,105.0,2.989583,DottedHalf,G#3_D#4
241,Right,0,68,80,105.0,2.989583,DottedHalf,G#4
242,Right,0,71,80,106.0,0.989583,Quarter,B4
243,Right,0,72,80,107.0,0.989583,Quarter,C5
244,Left,1,72,100,108.0,5.989583,Unknown,C5_A#4
246,Right,0,76,80,109.0,1.989583,Half,E5
247,Right,0,84,80,110.0,0.989583,Quarter,C6
249,Right,0,77,80,111.0,2.989583,DottedHalf,F5_C6
248,Left,1,68,80,111.0,2.989583,DottedHalf,G#4
251,Right,0,84,80,113.0,1.989583,Half,C6
253,Right,0,76,80,114.0,2.989583,DottedHalf,E5
252,Left,1,67,80,114.0,2.989583,DottedHalf,G4_A#4
255,Right,0,85,80,115.0,0.989583,Quarter,C#6
256,Right,0,82,80,116.0,1.989583,Half,A#5
257,Left,1,65,80,117.0,2.989583,DottedHalf,G#4_F4
259,Right,0,72,80,117.0,2.989583,DottedHalf,C5
260,Right,0,79,80,118.0,0.989583,Quarter,G5
261,Right,0,80,80,119.0,0.989583,Quarter,G#5
262,Left,1,66,100,120.0,5.989583,DottedHalf,G#4_F#4
