,hand,channel,note,velocity,start_beat,duration,note_value,chord
0,Left,1,36,80,0.0,0.489583,Eighth,C2
3,Right,0,52,80,0.5,0.489583,Eighth,E3_C3
1,Left,1,36,80,0.5,0.489583,Eighth,G2_C2
7,Left,1,43,80,1.0,0.489583,Eighth,G2_C2
5,Right,0,48,80,1.0,0.489583,Eighth,E3_C3
9,Right,0,52,80,1.5,0.489583,Eighth,E3_C3
11,Left,1,36,80,1.5,0.489583,Eighth,G2_C2
13,Right,0,52,80,2.0,0.489583,Eighth,E3_C3
15,Left,1,43,80,2.0,0.489583,Eighth,G2_C2
17,Left,1,43,80,2.5,0.489583,Eighth,G2_C2
19,Right,0,52,80,2.5,0.489583,Eighth,E3_C3
23,Left,1,36,80,3.0,0.489583,Eighth,G2_C2
21,Right,0,48,80,3.0,0.489583,Eighth,E3_C3
25,Left,1,43,80,3.5,0.489583,Eighth,G2_C2
26,Right,0,48,80,3.5,0.489583,Eighth,E3_C3
31,Left,1,36,80,4.0,0.489583,Eighth,G2_C2
29,Right,0,52,80,4.0,0.489583,Eighth,E3_C3
33,Left,1,43,80,4.5,0.489583,Eighth,G2_C2
34,Right,0,48,80,4.5,0.489583,Eighth,E3_C3
38,Left,1,36,80,5.0,0.489583,Eighth,G2_C2
37,Right,0,52,80,5.0,0.489583,Eighth,E3_C3
42,Right,0,52,80,5.5,0.489583,Eighth,E3_C3
41,Left,1,43,80,5.5,0.489583,Eighth,G2_C2
45,Left,1,36,80,6.0,0.489583,Eighth,G2_C2
46,Right,0,52,80,6.0,0.489583,Eighth,E3_C3
49,Right,0,48,80,6.5,0.489583,Eighth,E3_C3
51,Left,1,36,80,6.5,0.489583,Eighth,G2_C2
53,Left,1,45,80,7.0,0.489583,Eighth,C2_A2
54,Right,0,50,80,7.0,0.489583,Eighth,F#3_D3
59,Right,0,50,80,7.5,0.489583,Eighth,F#3_D3
57,Left,1,45,80,7.5,0.489583,Eighth,C2_A2
62,Right,0,50,80,8.0,1.489583,DottedQuarter,G3_D3
61,Left,1,43,80,8.0,0.489583,Eighth,G2_B1
65,Left,1,43,80,8.5,0.489583,Eighth,G2_B1
67,Left,1,35,80,9.0,0.489583,Eighth,G2_B1
69,Right,0,59,80,9.5,0.239583,Sixteenth,B3
70,Left,1,35,80,9.5,0.489583,Eighth,G2_B1
72,Right,0,57,80,9.75,0.239583,Sixteenth,A3
73,Right,0,55,80,10.0,0.489583,Eighth,G3
74,Left,1,35,80,10.0,0.489583,Eighth,G2_B1
76,Left,1,43,80,10.5,0.489583,Eighth,G2_B1
78,Left,1,43,80,11.0,0.489583,Eighth,G2_B1
80,Left,1,43,80,11.5,0.489583,Eighth,G2_B1
84,Right,0,85,80,12.0,0.239583,Sixteenth,C#6
82,Left,1,43,80,12.0,0.489583,Eighth,G2_B1
85,Right,0,86,80,12.25,0.989583,Quarter,D6
86,Left,1,43,80,12.5,0.489583,Eighth,G2_B1
88,Left,1,43,80,13.0,0.489583,Eighth,G2_B1
90,Right,0,84,80,13.25,0.239583,Sixteenth,C6
92,Right,0,83,80,13.5,0.239583,Sixteenth,B5
91,Left,1,43,80,13.5,0.489583,Eighth,G2_B1
94,Right,0,81,80,13.75,0.239583,Sixteenth,A5
95,Right,0,79,80,14.0,0.989583,Quarter,G5
96,Left,1,35,80,14.0,0.489583,Eighth,G2_B1
98,Left,1,43,80,14.5,0.489583,Eighth,G2_B1
100,Left,1,35,80,15.0,0.489583,Eighth,G2_B1
102,Left,1,43,80,15.5,0.489583,Eighth,G2_B1
105,Right,0,46,80,16.0,0.489583,Eighth,D3_A#2
104,Left,1,34,80,16.0,0.489583,Eighth,F2_A#1
108,Left,1,34,80,16.5,0.489583,Eighth,F2_A#1
110,Right,0,50,80,16.5,0.489583,Eighth,D3_A#2
114,Left,1,41,80,17.0,0.489583,Eighth,F2_A#1
112,Right,0,46,80,17.0,0.489583,Eighth,D3_A#2
118,Left,1,34,80,17.5,0.489583,Eighth,F2_A#1
116,Right,0,46,80,17.5,0.489583,Eighth,D3_A#2
122,Left,1,41,80,18.0,0.489583,Eighth,F2_A#1
120,Right,0,46,80,18.0,0.489583,Eighth,D3_A#2
124,Left,1,34,80,18.5,0.489583,Eighth,F2_A#1
125,Right,0,46,80,18.5,0.489583,Eighth,D3_A#2
129,Left,1,41,80,19.0,0.489583,Eighth,F2_A#1
128,Right,0,50,80,19.0,0.489583,Eighth,D3_A#2
134,Right,0,50,80,19.5,0.489583,Eighth,D3_A#2
132,Left,1,41,80,19.5,0.489583,Eighth,F2_A#1
138,Right,0,46,80,20.0,0.489583,Eighth,D3_A#2
136,Left,1,41,80,20.0,0.489583,Eighth,F2_A#1
140,Left,1,41,80,20.5,0.489583,Eighth,F2_A#1
142,Right,0,46,80,20.5,0.489583,Eighth,D3_A#2
146,Right,0,50,80,21.0,0.489583,Eighth,D3_A#2
144,Left,1,41,80,21.0,0.489583,Eighth,F2_A#1
148,Right,0,46,80,21.5,0.489583,Eighth,D3_A#2
150,Left,1,41,80,21.5,0.489583,Eighth,F2_A#1
152,Right,0,50,80,22.0,0.489583,Eighth,D3_A#2
153,Left,1,34,80,22.0,0.489583,Eighth,F2_A#1
156,Left,1,41,80,22.5,0.489583,Eighth,F2_A#1
158,Right,0,46,80,22.5,0.489583,Eighth,D3_A#2
162,Right,0,52,80,23.0,0.489583,Eighth,E3_C3
160,Left,1,43,80,23.0,0.489583,Eighth,G2_A#1
164,Right,0,48,80,23.5,0.489583,Eighth,E3_C3
165,Left,1,34,80,23.5,0.489583,Eighth,G2_A#1
168,Right,0,48,80,24.0,1.489583,DottedQuarter,F3_C3
170,Left,1,41,80,24.0,0.489583,Eighth,F2_A1
172,Left,1,33,80,24.5,0.489583,Eighth,F2_A1
174,Left,1,33,80,25.0,0.489583,Eighth,F2_A1
176,Right,0,57,80,25.5,0.239583,Sixteenth,A3
177,Left,1,33,80,25.5,0.489583,Eighth,F2_A1
179,Right,0,55,80,25.75,0.239583,Sixteenth,G3
