,hand,channel,note,velocity,start_beat,duration,note_value,chord
0,Left,1,45,80,0.0,0.489583,Eighth,A2
1,Left,1,49,80,0.25,0.489583,Eighth,C#3
2,Left,1,52,80,0.5,0.489583,Eighth,E3
3,Left,1,57,80,0.75,0.489583,Eighth,A3
4,Right,0,61,80,1.0,0.322917,Triplet,C#4
5,Right,0,64,80,1.166667,0.322917,Triplet,E4
6,Right,0,69,80,1.333333,0.322917,Triplet,A4
7,Right,0,73,80,1.5,0.239583,Sixteenth,C#5
8,Right,0,76,80,1.625,0.239583,Sixteenth,E5
9,Right,0,81,80,1.75,0.239583,Sixteenth,A5
10,Right,0,85,80,1.875,0.114583,ThirtySecond,C#6
11,Left,1,57,80,2.0,0.489583,Eighth,A3
12,Right,0,88,80,2.0,0.989583,Quarter,E6
13,Left,1,64,80,2.5,0.489583,Eighth,E4
14,Left,1,61,80,3.0,0.489583,Eighth,C#4
15,Right,0,88,80,3.0,0.989583,Quarter,E6
16,Left,1,64,80,3.5,0.489583,Eighth,E4
17,Right,0,88,80,4.0,0.489583,Eighth,E6
18,Left,1,59,80,4.0,0.489583,Eighth,B3
20,Right,0,68,80,4.5,0.239583,Sixteenth,G#4
19,Left,1,64,80,4.5,0.489583,Eighth,E4
21,Right,0,68,80,5.0,1.989583,Half,G#4
22,Left,1,62,80,5.0,0.489583,Eighth,D4
23,Left,1,64,80,5.5,0.489583,Eighth,E4
24,Left,1,59,80,6.0,0.489583,Eighth,B3
25,Left,1,64,80,6.5,0.489583,Eighth,E4
27,Left,1,62,80,7.0,0.489583,Eighth,D4
26,Right,0,68,80,7.0,0.989583,Quarter,G#4
28,Left,1,64,80,7.5,0.489583,Eighth,E4
30,Left,1,61,80,8.0,0.489583,Eighth,C#4
29,Right,0,69,80,8.0,0.989583,Quarter,A4
31,Left,1,64,80,8.5,0.489583,Eighth,E4
33,Right,0,71,80,9.0,0.989583,Quarter,B4
32,Left,1,56,80,9.0,0.489583,Eighth,G#3
34,Left,1,64,80,9.5,0.489583,Eighth,E4
35,Right,0,73,80,10.0,0.989583,Quarter,C#5
36,Left,1,57,80,10.0,0.489583,Eighth,A3
37,Left,1,64,80,10.5,0.489583,Eighth,E4
38,Right,0,74,80,11.0,0.989583,Quarter,D5
39,Left,1,54,80,11.0,0.489583,Eighth,F#3
40,Left,1,57,80,11.5,0.489583,Eighth,A3
42,Left,1,52,80,12.0,0.489583,Eighth,E3
41,Right,0,73,80,12.0,0.114583,ThirtySecond,C#5
43,Right,0,76,101,12.125,1.364583,TiedQuarter-Sixteenth,E5
44,Left,1,61,80,12.5,0.489583,Eighth,C#4
45,Left,1,57,80,13.0,0.489583,Eighth,A3
47,Right,0,74,80,13.5,0.239583,Sixteenth,D5
46,Left,1,61,80,13.5,0.489583,Eighth,C#4
48,Right,0,73,80,13.75,0.239583,Sixteenth,C#5
49,Left,1,52,80,14.0,0.489583,Eighth,E3
50,Right,0,71,80,14.0,0.989583,Quarter,B4
51,Left,1,56,80,14.5,0.489583,Eighth,G#3
52,Left,1,50,80,15.0,0.489583,Eighth,D3
53,Left,1,56,80,15.5,0.489583,Eighth,G#3
54,Left,1,49,80,16.0,0.489583,Eighth,C#3
56,Left,1,57,80,16.5,0.489583,Eighth,A3
55,Right,0,57,80,16.5,0.239583,Sixteenth,A3
57,Right,0,61,80,16.75,0.239583,Sixteenth,C#4
58,Right,0,64,80,17.0,0.322917,Triplet,E4
59,Left,1,52,80,17.0,0.489583,Eighth,E3
60,Right,0,69,80,17.166667,0.322917,Triplet,A4
61,Right,0,73,80,17.333333,0.322917,Triplet,C#5
63,Left,1,57,80,17.5,0.489583,Eighth,A3
62,Right,0,76,80,17.5,0.322917,Triplet,E5
64,Right,0,81,80,17.666667,0.322917,Triplet,A5
65,Right,0,85,80,17.833333,0.15625,TripletSixteenth,C#6
66,Left,1,47,80,18.0,0.489583,Eighth,B2
67,Right,0,88,80,18.0,0.989583,Quarter,E6
68,Left,1,56,80,18.5,0.489583,Eighth,G#3
70,Left,1,52,80,19.0,0.489583,Eighth,E3
69,Right,0,88,80,19.0,0.989583,Quarter,E6
71,Left,1,54,80,19.5,0.489583,Eighth,F#3
72,Right,0,88,80,20.0,0.489583,Eighth,E6
73,Left,1,46,80,20.0,0.489583,Eighth,A#2
75,Right,0,66,80,20.5,0.239583,Sixteenth,F#4
74,Left,1,54,80,20.5,0.489583,Eighth,F#3
77,Right,0,66,80,21.0,1.989583,Half,F#4
76,Left,1,52,80,21.0,0.489583,Eighth,E3
78,Left,1,54,80,21.5,0.489583,Eighth,F#3
79,Left,1,49,80,22.0,0.489583,Eighth,C#3
80,Left,1,58,80,22.5,0.489583,Eighth,A#3
82,Right,0,66,80,23.0,0.989583,Quarter,F#4
81,Left,1,52,80,23.0,0.489583,Eighth,E3
83,Left,1,58,80,23.5,0.489583,Eighth,A#3
85,Left,1,47,80,24.0,2.989583,DottedHalf,E3_B2
84,Right,0,68,80,24.0,0.489583,Eighth,G#4
87,Right,0,69,80,24.5,0.239583,Sixteenth,A4
88,Left,1,59,80,24.5,0.489583,Eighth,B3
89,Right,0,68,80,24.75,0.239583,Sixteenth,G#4
91,Left,1,56,80,25.0,0.489583,Eighth,G#3
90,Right,0,66,80,25.0,0.489583,Eighth,F#4
93,Left,1,59,80,25.5,0.489583,Eighth,B3
92,Right,0,68,80,25.5,0.489583,Eighth,G#4
94,Right,0,71,80,26.0,0.489583,Eighth,B4
95,Left,1,54,80,26.0,0.489583,Eighth,F#3
97,Right,0,69,80,26.5,0.489583,Eighth,A4
