,hand,channel,note,velocity,start_beat,duration,note_value,chord
0,Right,0,71,80,0.0,1.989583,Half,B4
1,Left,1,52,80,0.5,0.489583,Eighth,G#3_E3_B3
4,Left,1,52,80,1.0,0.489583,Eighth,G#3_E3_B3
7,Left,1,52,80,1.5,0.489583,Eighth,G#3_E3_B3
10,Right,0,64,80,2.0,1.989583,Half,E5_E4
12,Left,1,52,80,2.5,0.489583,Eighth,G#3_E3_B3
15,Left,1,52,80,3.0,0.489583,Eighth,G#3_E3_B3
18,Left,1,59,80,3.5,0.489583,Eighth,G#3_E3_B3
21,Right,0,73,80,4.0,1.989583,Half,C#5
22,Left,1,61,80,4.5,0.489583,Eighth,E3_C#4_A3
25,Left,1,61,80,5.0,0.489583,Eighth,E3_C#4_A3
28,Left,1,52,80,5.5,0.489583,Eighth,E3_C#4_A3
31,Right,0,78,80,6.0,1.989583,Half,F#5_F#4
33,Left,1,57,80,6.5,0.489583,Eighth,E3_C#4_A3
36,Left,1,61,80,7.0,0.489583,Eighth,E3_C#4_A3
39,Left,1,61,80,7.5,0.489583,Eighth,E3_C#4_A3
42,Right,0,75,80,8.0,1.989583,Half,D#5
43,Left,1,63,80,8.5,0.489583,Eighth,F#3_E3_D#4_A3
47,Left,1,63,80,9.0,0.489583,Eighth,F#3_E3_D#4_A3
51,Left,1,63,80,9.5,0.489583,Eighth,F#3_E3_D#4_A3
55,Right,0,71,80,10.0,1.989583,Half,B5_B4
57,Left,1,54,80,10.5,0.489583,Eighth,F#3_E3_D#4_A3
61,Left,1,63,80,11.0,0.489583,Eighth,F#3_E3_D#4_A3
65,Left,1,52,80,11.5,0.489583,Eighth,F#3_E3_D#4_A3
73,Right,0,83,80,12.0,1.489583,DottedQuarter,B5
69,Left,1,59,80,12.0,2.989583,DottedHalf,G#3_E4_E3_B3
74,Right,0,85,80,13.5,0.239583,Sixteenth,C#6
75,Right,0,87,80,13.75,0.239583,Sixteenth,D#6
76,Right,0,88,80,14.0,0.989583,Quarter,E6
77,Right,0,80,80,16.0,0.239583,Sixteenth,G#5
78,Right,0,76,80,16.25,0.239583,Sixteenth,E5
79,Right,0,81,80,16.5,0.239583,Sixteenth,A5
80,Right,0,78,80,16.75,0.239583,Sixteenth,F#5
81,Right,0,83,80,17.0,0.239583,Sixteenth,B5
82,Right,0,80,80,17.25,0.239583,Sixteenth,G#5
83,Right,0,85,80,17.5,0.239583,Sixteenth,C#6
84,Right,0,81,80,17.75,0.239583,Sixteenth,A5
85,Right,0,83,80,18.0,0.989583,Quarter,B5
86,Left,1,68,80,18.0,0.239583,Sixteenth,G#4
87,Left,1,64,80,18.25,0.239583,Sixteenth,E4
88,Left,1,69,80,18.5,0.239583,Sixteenth,A4
89,Left,1,66,80,18.75,0.239583,Sixteenth,F#4
90,Left,1,71,80,19.0,0.239583,Sixteenth,B4
91,Left,1,68,80,19.25,0.239583,Sixteenth,G#4
92,Left,1,73,80,19.5,0.239583,Sixteenth,C#5
93,Left,1,69,80,19.75,0.239583,Sixteenth,A4
94,Left,1,71,80,20.0,0.989583,Quarter,B4
95,Right,0,56,80,20.0,0.239583,Sixteenth,G#3
96,Right,0,52,80,20.25,0.239583,Sixteenth,E3
97,Right,0,57,80,20.5,0.239583,Sixteenth,A3
98,Right,0,54,80,20.75,0.239583,Sixteenth,F#3
99,Right,0,59,80,21.0,0.239583,Sixteenth,B3
100,Right,0,56,80,21.25,0.239583,Sixteenth,G#3
101,Right,0,61,80,21.5,0.239583,Sixteenth,C#4
102,Right,0,57,80,21.75,0.239583,Sixteenth,A3
104,Right,0,59,80,22.0,0.989583,Quarter,B3
103,Left,1,44,80,22.0,0.239583,Sixteenth,G#2
105,Left,1,40,80,22.25,0.239583,Sixteenth,E2
106,Left,1,45,80,22.5,0.239583,Sixteenth,A2
107,Left,1,42,80,22.75,0.239583,Sixteenth,F#2
108,Left,1,47,80,23.0,0.239583,Sixteenth,B2
109,Left,1,44,80,23.25,0.239583,Sixteenth,G#2
110,Left,1,49,80,23.5,0.239583,Sixteenth,C#3
111,Left,1,45,80,23.75,0.239583,Sixteenth,A2
112,Left,1,47,80,24.0,3.989583,Whole,B2
113,Right,0,59,80,24.5,3.489583,DottedHalf,B3
114,Right,0,68,80,25.0,0.489583,Eighth,G#4
115,Right,0,64,80,25.5,0.489583,Eighth,E4
116,Left,1,56,80,25.5,0.489583,Eighth,G#3
117,Right,0,69,80,26.0,0.489583,Eighth,A4
118,Left,1,51,80,26.0,0.489583,Eighth,D#3
120,Right,0,66,80,26.5,0.489583,Eighth,F#4
119,Left,1,54,80,26.5,0.489583,Eighth,F#3
121,Right,0,63,80,27.0,0.489583,Eighth,D#4
122,Left,1,57,80,27.0,0.989583,Quarter,A3
123,Right,0,71,80,27.5,0.489583,Eighth,B4
124,Left,1,49,80,28.0,0.15625,TripletSixteenth,C#3
125,Left,1,52,80,28.166667,0.15625,TripletSixteenth,E3
126,Left,1,56,80,28.333333,0.15625,TripletSixteenth,G#3
128,Right,0,73,80,28.5,0.239583,Sixteenth,C#5
127,Left,1,59,80,28.5,3.489583,DottedHalf,B3
129,Right,0,71,80,28.625,0.239583,Sixteenth,B4
130,Right,0,70,80,28.75,0.239583,Sixteenth,A#4
131,Right,0,71,80,28.875,3.114583,DottedHalf,B4
132,Right,0,80,80,29.0,0.489583,Eighth,G#5
134,Right,0,76,80,29.5,0.489583,Eighth,E5
133,Left,1,68,80,29.5,0.489583,Eighth,G#4
136,Left,1,63,80,30.0,0.489583,Eighth,D#4
135,Right,0,81,80,30.0,0.489583,Eighth,A5
137,Right,0,78,80,30.5,0.489583,Eighth,F#5
138,Left,1,66,80,30.5,0.489583,Eighth,F#4
139,Right,0,75,80,31.0,0.489583,Eighth,D#5
