start(sec),chord
0.962,C2_C3_C4
1.678,D#2_D#3_D#4
2.027,G2_G3_G4
2.352,C3_C4_C5
2.72,D#3_D#4_D#5
3.363,D#5
3.523,F5
3.618,D#5_F5
3.711,D#5_D5
3.846,D#5
3.926,G5
4.266,C5_D#4_G4
4.646,C5_D#4_G4
5.009,C5_D#4_G4
5.389,G#5
5.746,B4_D4_F4_G#4
6.176,B4_D4_F4_G#4
7.047,G1_G2_G3
7.793,B1_B2_B3
8.134,D2_D3_D4
8.474,G2_G3_G4
8.84,B2_B3_B4
9.467,D5
9.599,D#5
9.685,D#5_D5
9.805,C5_D5
9.918,D5
10.013,F5
10.337,B4_D4_F4_G#4
10.719,B4_D4_F4_G#4
11.1,B4_D4_F4_G#4
11.493,G5
11.874,C5_D#4_G4
12.328,C5_D#4_G4
13.32,G4
13.374,G2
13.591,G3
13.785,G2
13.969,G3
14.13,G2
14.318,G3
14.47,D#5_G2_G4
14.658,G3
14.846,F#4_G2
15.052,G3
15.214,D5_F4_G2
15.401,G3
15.564,E4_G2
15.746,G3
15.915,C5_D#4_G2
16.116,G3
16.286,D4_G2
16.49,G3
16.651,B4_G2
16.849,G3
17.031,G2
17.21,G3
17.385,D#5_G2_G5
17.59,G3
17.747,F#5_G2
17.967,G3
18.12,D5_F5_G2
18.302,G3
18.479,E5_G2
18.648,G3
18.833,C5_D#5_G2
19.018,G3
19.204,D5_G2
19.375,G3
19.559,B4_G3
19.749,G3
19.93,F2
20.105,F3
20.264,B4_D5_F3_G#5
20.47,F3
20.655,D#2
20.839,D#3
21.01,C5_D#3_D#5_G5
21.208,D#3
21.379,B1
21.562,B2
21.639,G4
21.734,B2_D5
21.904,B2
21.962,F5
22.069,C2_D#5_F5
22.181,D5
22.255,C3_D#5
22.345,F5
22.434,C3_G5
22.602,C3
22.79,F2
22.966,F3
23.13,B4_D5_F3_G#5
23.307,F3
23.499,D#2
23.667,D#3
23.863,C5_D#3_D#5_G5
24.033,D#3
24.221,D2
24.383,D3
24.493,F5
24.559,B5_D3
24.711,D3
24.806,F6
24.914,D#6
24.969,C3
25.126,G5
25.281,C6
25.454,D#5
25.634,F3
25.82,F5
26.004,G#5
26.199,D5
26.357,G3
26.539,D#5
26.704,G5
26.906,C5
27.094,G2
27.262,D5
27.432,F5
27.621,B4
27.836,C4_C5
28.535,D#4_D#5
28.919,G4_G5
29.281,C5_C6
29.659,D#5_D#6
30.228,D#5
30.366,F5
30.43,D#5
30.487,F5
30.553,D#5
30.603,D5
30.671,D#5
30.794,A#1_A#2_G#5
30.941,A#5
31.044,C6
31.168,A#5
31.28,G#5
31.413,G5
31.496,D2_D3_F5
31.63,G5
31.738,G#5
31.839,F2_F3_G5
31.96,F5
32.07,D#5
32.176,A#2_A#3_D5
32.301,D#5
32.418,F5
32.534,D#5_D3_D4
32.647,D5
32.754,C5
32.893,A#4
33.017,C5
33.129,A#4
33.246,G#4
33.375,A#4
33.499,G#4
33.697,D#3_G4
34.064,A#3
34.296,G3
34.392,G#4
34.477,A#3_F4_G4
34.573,G4
34.665,F3_G#4
34.885,A#3
35.062,D4_G#3
35.253,A#3
35.402,D#4_G3
35.592,A#3_G4
35.81,A#4_D#3
36.005,A#3
36.182,D3
36.389,A#3_A4
36.582,A#2_G#4
36.792,A#3_F#4
36.98,D#3_G4
37.191,A#3
37.37,G#4_G3
37.493,A#3_F4_G4
37.605,G4
37.688,F3_G#4
37.902,A#3
38.068,D4_G#3
38.266,A#3
38.449,D#4_G3
38.677,A#3_D#5
38.87,D#3_D5
39.064,A#3_C5
39.238,A#4_D3
39.418,A#3_A4
39.596,G#4
39.647,A#2
39.789,A#3_F#4
39.983,D#3_G4
40.173,A#3
40.346,A#4_G3
40.552,A#3
40.742,D3
40.918,A#3_A#4
41.092,A#4_F3
41.267,A#3_A#4
41.462,C3_F5
41.656,A#3_D#5
41.876,D#5_G3
42.049,A#3
42.277,C3
42.453,A#3_D#5
42.641,D#5_G3
42.799,A#3_D#5
42.945,C3
43.004,A3_D#5_F3
43.257,F5
43.336,G5
43.402,F5
43.591,D#5
43.781,D5
43.951,C5
44.13,A#4
44.296,A4
44.49,C5
44.88,A#3_A#4_D4
45.277,B3_D#4
45.674,D#5
45.852,D#5
46.061,A#5
46.457,A#3_D4
46.896,B3_D#4
47.273,D#5
47.448,D#5
47.669,A#5
48.053,A#3_D4
48.477,B3_D#4
48.879,D#5
49.046,D#5
49.257,A#3_A#5_D4
49.641,B3_D#4_D#5
49.836,D#5
50.052,A#3_A#5_D4
50.434,B3_D#4_D#5
50.626,D#5
50.878,A#3_A#5_D4
51.375,A#5
51.789,A#5
52.211,A#5
52.641,A#5
52.887,A5
53.081,G#5
53.272,F5
53.473,A#5
53.638,A5
53.833,G#5
54.026,F5
54.276,D#5
54.327,G4
54.596,A#4
54.815,G4
54.967,F5
55.057,D#5
55.115,D5_F4
55.372,A#4
55.526,D#5_G4
55.74,A#4
55.953,E5_G4
56.184,A#4
56.344,G4
56.557,A#4
56.723,F5_G#4
56.958,A#4
57.12,G#4
57.336,A#4
57.487,F4_G#3
57.727,A#4
57.908,F4
58.109,A#4_G3
58.189,G#3
58.27,A#3_F4
58.457,A#4_G#3
58.622,G3_G4
58.807,A#4_F3
59.009,D#3_G#4
59.195,A#4
59.379,F4
59.583,A#4
59.781,D3_G#4
59.971,A#4
60.165,F4
60.379,A#4
60.546,D4_F5
60.766,A#4
60.953,D4
61.146,A#4_G5
61.223,F5
61.306,C4_D#5
61.495,A#4
61.684,D4_F5
61.891,A#4
62.103,D4_F#5
62.316,A#4
62.539,D4
62.707,A#4
62.906,D#4_G5
63.113,A#4
63.284,D#4
63.482,A#4
63.674,A#3_G4
63.883,A#4
64.073,D#4
64.26,A#4_A3
64.328,A#3
64.423,C4_G4
64.617,A#3_A#4
64.802,D#4_G#3
64.979,A#4_G3
65.181,F3_G#4
65.38,A#4
65.565,F4
65.757,A#4
65.945,D#3_G4
66.134,A#4
66.31,D#4
66.497,A#4
66.719,A#4_A#5_D#4
66.952,G4
67.126,D#4
67.306,G4
67.479,B4_B5_C#4
67.68,F4
67.867,C#4
68.036,F4
68.233,C4_C5_C6
68.421,E4
68.643,A#3_C#5_C#6_E4
70.138,F4_G#3
70.352,C6
70.526,A#5
70.706,G#5
70.9,G5
71.095,F5
71.267,G5
71.447,G#5
71.646,D#5
72.033,A#3_G4
72.408,G#4
72.828,B3_D5_G5
73.017,F5
73.333,C4_D#5_G4
73.977,D#5
74.168,D5
74.349,C#5
74.517,C5
74.688,B4
74.893,A#4_D#3
75.092,G3
75.272,D#3
75.461,G3
75.658,B3_B4_C#3
75.874,F3
76.059,C#3
76.236,F3
76.414,C3_C4_C5
76.605,E3
76.822,A#2_C#4_C#5_E3
78.091,G#2
78.165,C3
78.229,C5_F3
78.374,F5
78.483,G4
78.607,G#4
78.738,C5
78.866,E4
78.973,F4
79.098,G#4
79.214,B3
79.316,C4
79.436,F4
79.551,G3
79.676,F1_F2_G#3
79.811,C4
79.93,E3
80.039,F3
80.163,G#3
80.29,B2
80.388,C3
80.516,F3
80.625,G2
80.742,G#2
80.876,C3
80.99,E2
81.118,F2
81.53,G#1
81.725,C2
81.935,G#2
82.125,F2
82.299,C3
82.475,G#2
82.672,F3
82.872,C3
83.036,G#3
83.241,F3
83.428,C4
83.599,G#3
83.801,F4
83.983,C4
84.167,G#4
84.346,F4
84.531,C5
84.714,G#4
84.908,F5
85.089,C5
85.272,G#5
85.454,F5
85.637,C6
86.027,C4_F4_G#3
86.423,D#6
86.848,A3_C4_F#4
87.319,A#3_D#4_G4
87.527,A#4
87.716,A#5
87.91,A5
88.098,G#5
88.281,G5
88.454,F#5
88.638,F5
88.842,F5
89.039,D#5
89.25,A#3_D#5_G4
89.716,G#4
90.109,D5_G5
90.299,F5
90.496,D#4_D#5
90.701,A#4
90.897,G4
91.072,A#4_D#5
91.268,D4_E5
91.447,A#4_F5
91.654,G#4
91.836,A#4_F5
92.022,D#4_F#5
92.206,A#4_G5
92.393,G4
92.57,A#4_G5
92.767,A#5_F3
92.969,D4_G#5
93.152,G#3
93.326,D4_G#5
93.525,A5_G3
93.707,A#5_D#4
93.914,A#3
94.082,A#5_D#4
94.27,B5_G#3
94.449,C6_D#4
94.655,C4
94.836,D#4_D#6
95.044,A#3_D#6
95.224,D#5_G4
95.457,D#4_D#5
95.633,G4
95.845,A#3
96.047,G#4
96.224,D4_G5
96.415,F5_G#4
96.604,D#3_D#5
96.803,A#3_D#5
96.964,D#5_F5_G3
97.061,F5
97.133,A#3_D#5_D5
97.258,D#5
97.342,D3_F5
97.527,A#3_F5
97.656,G5
97.708,F5_G#3
97.798,G5
97.855,A#3_D#5_F5
97.978,F5
98.038,D#3_G5
98.227,A#3_G5
98.348,G#5
98.408,G3_G5
98.473,G#5
98.539,A#3_F5_G5
98.651,G5
98.743,F3_G#5
98.945,D4_G#5
99.073,A#3_A#5_G#5
99.197,A#5
99.254,D4_G#5_G3_G5
99.423,A#3_A#5_D#4
99.609,B5_C6
99.704,D6
99.831,D#6
99.949,D6
100.056,C6
100.167,A#5
100.281,G#5
100.391,G5
100.51,F5
100.62,D#5
100.727,D5
100.865,C5
101.234,C6_D#5_G#3_G#5
101.598,A#3_A#5_D#5_G5
101.984,A#2_D5_F4_G#4
102.396,D#3_D#5_G4
102.885,A#5
103.001,G#5
103.121,G5
103.225,F5
103.332,D#5
103.439,D5
103.559,D#4_D#5_G4
103.672,C#5
103.798,B4
103.935,C5_D#4_G#4
104.361,C6
104.48,A#5
104.583,G#5
104.706,G5
104.828,F5
104.932,D#5
105.046,D#4_D5_F4_G#4
105.168,G#5
105.292,F5
105.431,D#4_D#5_G4
105.87,A#4
105.996,G#4
106.112,G4
106.224,F4
106.329,D#4
106.451,D4
106.564,D#3_D#4_G3
106.688,C#4
106.823,B3
106.954,C4_D#3_G#3
107.37,C5
107.49,A#4
107.602,G#4
107.725,G4
107.848,F4
107.965,D#4
108.078,A#2_D4_F3_G#3
108.197,G#4
108.319,F4
108.49,D#3_D#4_G3
109.281,G4
109.655,A#4
110.031,D#2_D#3_D#5
110.413,G5
110.796,G2_G3
110.964,G5
111.089,A#2_A#3_G#5_G5
111.273,F5_G5
111.389,G5
111.471,A#5_D#3_D#4
111.868,D#5_G3_G4
112.253,D#5
112.646,D#5
113.211,D4_F4_G#5_G3
113.727,B4
114.372,B4
115.924,C2_C3_C4
116.701,E2_E3_E4
117.087,G2_G3_G4
117.454,C3_C4_C5
117.855,E3_E4_E5
118.469,G5
118.612,G#5
118.664,G#5_G5
118.779,F5_G5
118.915,G5
119.026,A#1_A#2_A#5
119.138,C6
119.272,C#6
119.388,C6
119.499,A#5
119.624,G#5
119.73,E2_E3_G5
119.855,G#5
119.98,A#5
120.082,G#5_G2_G3
120.193,G5
120.303,F5
120.414,A#2_A#3_E5
120.536,G5
120.663,E5_F5
120.76,C#3_C#4_C#5
120.904,E5
121.013,C#5
121.135,A#4
121.253,C#5
121.374,A#4
121.493,G4
121.633,A#4
121.779,G4
121.97,F3_G#4
122.285,C4
122.482,A#4_G#3
122.618,C4_G#4_G4
122.712,G#4
122.802,A#4
122.854,G3
123.022,C4
123.215,A#3_E4
123.384,C4
123.574,F4_G#3
123.758,C4_G#4
123.97,C5_F3
124.177,C4
124.361,E3
124.56,B4_C4
124.745,A#4_C3
124.952,C4_G4
125.177,F3_G#4
125.408,C4
125.578,G#3
125.646,A#4
125.725,C4_G#4_G4
125.854,G#4
125.91,A#4
125.967,G3
126.128,C4
126.318,A#3_E4
126.512,C4
126.678,F4_G#3
126.878,C4_F5
127.078,D#5_F3
127.249,C#5_C4
127.438,C5_E3
127.632,B4_C4
127.822,A#4_C3
128.023,C4_G4
128.23,F3_G#4
128.38,G#3
128.496,C4
128.625,A#3
128.749,G#3
128.87,G3
128.996,C5_F3
129.125,G#3
129.246,C4
129.362,A#3_F5
129.497,G#3
129.615,G3
129.736,F3_G#5
129.868,G#3
129.99,C4
130.105,A#3_C6
130.227,G#3
130.337,G3
130.47,F3
130.595,G3
130.706,F3
130.841,D#3
130.964,F3
131.079,D#3
131.224,C6_D2_D3
131.367,D6
131.484,D#6
131.605,D6
131.716,C6
131.836,A#5
131.951,A5_F#2_F#3
132.083,A#5
132.203,C6
132.305,A#5_A2_A3
132.436,A5
132.543,G5
