start(sec),chord
1.007,C2_C3_C4
4.021,D#2_D#3_D#4
4.723,F#2_F#3_F#4
5.405,G2_G3_G4
6.148,G#2_G#3_G#4
7.003,C2_C3_C4
8.06,B1_B2_B3
10.615,C5_D#5_F#4
11.533,B4_D5_G4
12.57,C5_F#5_G#4
13.706,B4_G4_G5
18.691,A#1_A#2_A#3
21.52,C#2_C#3_C#4
22.229,E2_E3_E4
22.72,F4
22.805,E4
22.885,D4
22.993,E4
23.31,F2_F3_F4
23.68,G2_G4
24.365,A#1_A#2_A#3
25.292,A1_A2_A3
27.565,A#4_C#5_E4
28.449,A4_C5_F4
29.517,A#4_C#5_E5
30.716,A4_C5_F5
35.681,G#1_G#2_G#3
38.564,C2_C3_C4
39.311,C#2_C#3_C#4
40.0,F2_F3_F4
40.751,G#2_G#3_G#4
41.578,C#4
42.703,C4_G#2
43.214,F#3
43.566,D#3
43.88,F#3
44.193,G#2
44.487,F#3
44.772,D#3_D4
45.056,F#3
45.389,D#4_G#2
45.686,F#3
45.97,D#3_F#4
46.254,F#3
46.596,G#2
46.66,A#4
46.947,F#3
47.241,C4_D#3
47.573,F#3
48.073,G#2
48.18,C#4
48.585,F3
48.898,C#3
49.18,F3
49.49,G#2
49.779,F3
50.1,C#3_E4
50.388,F3
50.725,F4_G#2
51.049,F3
51.337,C#3_G#4
51.587,F3
51.913,G#2
52.001,C#5
52.297,F3
52.603,C#3_C#4
52.893,F3
53.383,A2
53.49,C4
53.967,F#3
54.289,D#3
54.561,F#3
54.862,A2
55.122,F#3
55.423,D#3_D#5
55.715,F#3
56.052,A2_C5
56.339,F#3
56.643,A4_D#3
56.932,F#3
57.238,A2_F#4
57.531,F#3
57.841,D#3_D#4
58.174,F#3
58.608,A#2
58.738,A#3
59.199,F#3
59.546,D#3
59.848,F#3
60.132,A#2
60.401,F#3
60.727,D#3_F#5
61.007,F#3
61.314,A#2_D#5
61.63,F#3
61.917,A#4_D#3
62.197,F#3
62.473,A#2
62.531,F#4
62.785,F#3
63.138,D#3_D#4
63.458,F#3
64.111,B2_B3
64.75,D#4_F#4
65.108,D#4_F#4
65.402,D#4_F#4
65.691,D#4_F#4
65.983,D#4_F#4
66.288,D#3_D#4_F#4
66.581,D#4_F#4
66.918,D#4_F#3_F#4
67.212,D#4_F#4
67.523,A#3_D#4_F#4
67.822,D#4_F#4
68.135,B3_D#4_F#4
68.462,D#4_F#4
68.807,B2_D#4_F#4
69.201,D#4_F#4
69.724,A#1_A#2_E4_F#4
70.258,E4_F#4
70.612,E4_F#4
70.909,E4_F#4
71.204,E4_F#4
71.495,E4_F#4
71.812,C#3_E4_F#4
72.104,E4_F#4
72.401,E4_F#3_F#4
72.708,E4_F#4
73.009,A#3_E4_F#4
73.31,E4_F#4
73.6,C#4
73.66,E4_F#4
73.949,E4_F#4
74.241,A#2_E4_F#4
74.598,E4_F#4
75.156,A1_A2_C#4_E4_G4
75.738,C#4_E4_G4
76.112,C#4_E4_G4
76.458,C#4_E4_G4
76.773,C#4_E4_G4
77.094,C#4_E4_G4
77.405,C#3_C#4_E4_G4
77.71,C#4_E4_G4
78.023,C#4_E3_E4_G4
78.318,C#4_E4_G4
78.628,C#4_E4_G#3_G4
78.917,C#4_E4_G4
79.232,A3_C#4_E4_G4
79.522,C#4_E4_G4
79.841,A2_C#4_E4_G4
80.163,C#4_E4_G4
80.633,C4_F4_G#1_G#2
81.105,C4_F4
81.421,C4_F4
81.737,C4_F4
82.046,C4_F4
82.346,C4_F4
82.72,C3_C4_F4
83.022,C4_F4
83.32,C4_F3_F4
83.63,C4_F4
83.927,C4_F4_G3
84.223,C4_F4
84.557,C4_F4_G#3
84.88,C4_F4
85.156,C4_F4_G#2
85.51,C4_F4
86.017,B3_D4_F4_G1_G2
86.568,B3_D4_F4
86.96,D4_F4
87.023,B3
87.288,B3_D4_F4
87.594,B3_D4_F4
87.917,B3_D4_F4
88.204,B2_B3_D4_F4
88.499,B3_D4_F4
88.826,B3_D3_D4_F4
89.117,B3_D4_F4
89.44,B3_D4_F#3_F4
89.736,B3_D4_F4
90.034,B3_D4_F4_G3
90.327,B3_D4_F4
90.667,B3_D3_D4_F4_G2
91.029,B3_D4_F4
91.564,A#3_D#4_F#1_F#2
92.056,A#3_D#4
92.465,A#3_D#4
92.776,A#3_D#4
93.083,A#3_D#4
93.4,A#3_D#4
93.71,A#2_A#3_D#4
94.026,A#3_D#4
94.302,A#3_D#3_D#4
94.622,A#3_D#4
94.884,F3
94.939,A#3_D#4
95.172,A#3_D#4
95.555,A#3_D#4_F#3
95.915,A#3_D#4
96.251,A#3_D#4_F#2
96.671,A#3_D#4
97.283,A#3_D#4_E3_F#2_F#3
97.771,C#4
98.066,C#4
98.365,C#4
98.677,D#3
98.733,C#4
98.995,B3
99.268,B3
99.566,B3
99.858,A#3_C#3_F#2_F#3_F#4
100.195,E4
100.493,E4
100.797,E4
101.072,B2_B3_E4
101.398,D#4
101.686,D#4
101.988,D#4
102.387,A#3_D#4_E3_F#2
102.785,C#4
103.077,C#4
103.371,C#4
103.681,C#4_D3
103.991,B3
104.28,B3
104.561,B3
104.852,F#2
104.906,A#3_C#3_F#3_F#4
105.26,E4
105.573,E4
105.862,E4
106.259,B2_B3_E4
106.626,D4
106.965,D4
107.339,D4
107.93,B3_D4_G2_G3
108.587,D4
108.969,D4
109.322,D4
109.639,D4
109.932,D4
110.194,D4
110.477,D4
110.872,C4_D4
111.293,C4_D4
111.595,C4_D4
111.891,C4_D4
112.176,C4_D4
112.484,C4_D2_D4
112.65,E2
112.779,C4_D4_F#2
112.917,G2
113.046,A2_C4_D4
113.172,F#2
113.401,B3_D4_G2
113.758,B3_D4
114.044,D4
114.337,B3_D4
114.694,C4_D4
114.999,C4_D2_D4
115.152,E2
115.28,C4_D4_F#2
115.398,G2
115.522,A2_C4_D4
115.642,F#2
115.871,B3_D4_G2
116.306,C4_D2_D4
116.452,E2
116.586,C4_D4_F#2
116.712,G2
116.828,A2_C4_D4
116.952,F#2
117.156,B3_D4_G2
117.547,C4_D2_D4
117.688,E2
117.803,C4_D4_F#2
117.935,G2
118.055,A2_C4_D4
118.176,F#2
118.435,B3_D4_G2
118.931,G3
119.082,A3
119.225,B3
119.344,C4
119.469,D4
119.611,C4
119.76,B3
120.125,G4
120.237,A4
120.367,B4
120.478,C5
120.62,D5
120.759,C5
120.911,B4
121.264,G5
121.379,A5
121.529,B5
121.642,C6
121.783,D6_E6
121.892,C6
122.108,B5
122.496,A5
122.816,G5
122.996,G#5
123.182,F#5
123.733,F5_G3
124.258,B4
124.385,A#4
124.536,B4
124.654,C#5
124.807,D5
124.941,C#5
125.152,D5
125.533,B3_C#5
125.661,A#3
125.796,B3_B4
