start(sec),chord
0.964,C2_C3_C4
1.573,D#2_D#3_D#4
1.85,G2_G3_G4
2.159,C3_C4_C5
2.467,D#3_D#4_D#5
2.913,D#5
3.051,D#5
3.133,F5
3.217,D#5
3.285,D5
3.365,D#5
3.523,G5
3.819,C5_D#4_G4
4.076,C5_D#4_G4
4.349,C5_D#4
4.682,G#5
4.97,B4_D4_F4_G#4
5.328,B4_D4_F4_G#4
6.0,G1_G2_G3
6.591,B1_B2_B3
6.865,D2_D3_D4
7.161,G2_G3_G4
7.478,B2_B3_B4
7.928,D5
8.069,D5
8.168,D#5
8.243,C5_D5
8.378,D5
8.586,F5
8.882,B4_D4_F4_G#4
9.173,B4_D4_F4_G#4
9.457,B4_D4_F4_G#4
9.798,G5
10.086,C5_D#4_G4
10.467,C5_D#4_G4
11.292,G4
11.348,G2
11.608,G3
11.809,G2
11.94,G3
12.146,G2
12.284,G3
12.423,D#5_G2_G4
12.625,G3
12.749,F#4_G2
12.889,G3
13.023,D5_F4_G2
13.203,G3
13.329,E4_G2
13.487,G3
13.635,C5_D#4_G2
13.812,G3
14.051,D4
14.133,G2
14.329,G3
14.51,B4
14.57,G2
14.698,G3
14.845,G2
14.962,G3
15.098,D#5_G2_G5
15.264,G3
15.401,D#5_F#5_G2
15.561,G3
15.673,D5_F5_G2
15.816,G3
15.96,E5_G2
16.112,G3
16.266,C5_D#5_G2
16.426,G3
16.59,D5_G2
16.753,G3
16.883,B4_G3
17.036,G3
17.172,F2
17.324,F3
17.462,B4_D5_F3_G#5
17.607,F3
17.758,D#2
17.893,D#3
18.036,C5_D#3_D#5_G5
18.203,D#3
18.329,B1
18.501,B2_G4
18.607,D5
18.759,B2_F5
18.866,C2_D#5_D5
18.978,C3_D#5
19.061,F5
19.117,G5
19.225,C3
19.331,C3
19.448,F2
19.587,F3
19.714,B4_D5_F3_G#5
19.871,F3
20.012,D#2
20.16,D#3
20.298,C5_D#3_D#5_G5
20.426,D#3
20.565,D2
20.723,D3
20.79,F5
20.871,B5_D3
21.079,D3_F6
21.22,C3_D#6
21.357,G5
21.501,C6
21.659,D#5
21.831,F3
21.941,F5
22.115,G#5
22.255,D5
22.43,G3
22.562,D#5
22.716,G5
22.854,C5
23.059,G2
23.185,D5
23.339,F5
23.483,B4
23.693,C4_C5
