start(sec),chord
1.0,C3_G5
1.546,E3
2.048,C3_F5
2.167,E5
2.262,D5
2.379,C5
2.508,D3_G5
2.764,F5
3.031,B2_D5
3.569,G2
4.077,C3_E5
4.315,G5
4.553,E3_G5
4.796,C6
5.026,C3_C6
5.255,E5
5.5,E5_G3
5.73,D5
5.979,C5_G2
6.044,D5
6.111,C5
6.189,B4
6.447,A4
6.504,B4
6.584,A4
6.673,G4
6.991,C3_G5
7.534,E3
8.05,C3_F5
8.159,E5
8.255,D5
8.386,C5
8.54,D3_G5
8.8,F5
9.053,B2_D5
9.558,G2
9.797,F5
10.073,C3_E5
10.288,G5
10.404,F3
10.492,A5
10.666,G3
10.726,C5
10.903,B4
10.977,C5
11.054,B4
11.112,B4_C5_G2
11.227,C5
11.317,B4
11.426,A4
11.532,B4
11.723,B4_C3
12.311,C5_G2
12.973,C2
13.785,D5_G2
14.059,G3
14.29,G2
14.546,G3
14.796,C5
14.906,B4
15.006,A4_G3
15.12,G4
15.255,C5_E5_G2
15.535,G3
15.766,C5_G2_G4
16.056,G3
16.288,E5_G2
16.441,C5
16.538,E5_G3
16.656,C5
16.789,D5_F5_G2
17.07,G3
17.303,B4_D5_G2
17.572,G3
17.821,F5_G2
17.951,D5
18.068,F5_G3
18.171,D5
18.393,C2_C3_E5_G5
18.968,C5_E5
19.092,G5
19.199,A5
19.303,G5
19.429,C6
19.542,G5
19.643,A5
19.736,G5
19.928,C2_C3_E5_G5
20.099,E5
20.541,C5_E5
20.696,G5
20.821,A5
20.939,G5
21.058,C6
21.181,G5
21.293,A5
21.412,G5
21.543,E4_G5
21.672,E5
21.791,A5
21.904,G5
22.017,B3_F5
22.138,D5
22.238,G5
22.344,F5
22.472,C4_E5
22.596,C5
22.694,F5
22.814,E5
22.927,E5_G3
23.075,D5
23.199,G4
23.317,A4
23.445,B4
23.548,C5
23.665,D5
23.777,E5
23.87,F3_F5
23.991,G5
24.053,A5_F3
24.21,B5
24.309,C6_E3
24.441,G5
24.571,E5
24.669,G5
24.781,B2_F5
24.911,A5
25.033,D5
25.146,F5
25.242,C3_E5
25.386,G5
25.505,C5
25.614,E5
25.797,E5_G3
26.115,D5
26.354,G2
26.411,C5
26.481,D5
26.544,C5
26.609,B4
26.874,A4
26.938,B4
26.998,A4
27.103,G4
27.553,C3_G5
28.132,E3
28.672,C3_F5
28.783,E5
28.884,D5
28.998,C5
29.174,D3_G5
29.445,F5
29.712,B2_D5
30.215,G2
30.468,F5
30.724,C3_E5
30.958,G5
31.205,E3_G5
31.453,C6
31.695,C3_C6
31.939,E5
32.168,E5_G3
32.421,D5
32.676,C5_G2
32.731,D5
32.806,C5
32.89,B4
33.126,A4
33.185,B4
33.257,A4
33.347,G4
33.726,C3_G5
34.28,E3
34.798,C3_F5
34.923,E5
35.024,D5
35.124,C5
35.284,D3_G5
35.644,G5
35.752,F5
35.838,B2_D5
36.346,G2
36.591,F5
36.868,C3_E5
37.118,G5
37.214,F3
37.336,A5
37.545,C5_G3
37.771,B4
37.85,C5
37.931,B4
37.997,C5
38.059,B4_C5_G2
38.203,B4
38.315,A4
38.436,B4
38.636,B4_C3
39.245,C5_G2
39.999,C2
41.092,C3_E5
41.165,F5
41.254,G5
41.55,E3
42.008,C3_F5
42.106,E5
42.217,D5
42.322,C5
42.424,B4_F3
42.544,D5
42.626,C5_E3
42.743,E5
42.821,D3_D5
42.938,F5
43.028,C3_E5
43.141,G5
43.225,B2_F5
43.334,A2
43.464,B2
43.541,G2
43.664,C3_E5
43.762,C5
43.855,G5
43.962,E5
44.064,C6_E3
44.173,B5
44.281,A5
44.401,G5
44.475,C3_F5
44.582,E5
44.686,D5
44.783,C5
44.874,D5_G2
44.983,E5
45.089,C5
45.195,D5
45.281,B4_G3
45.402,A3_C5
45.475,A4_F3
45.575,B4_G3
45.671,E3_G4
45.77,F3
45.868,D3
45.962,E3
46.112,C3_E5
46.238,F5
46.315,G5
46.603,E3
47.082,C3_F5
47.181,E5
47.292,D5
47.419,C5
47.529,B4_F3
47.644,C5_D5_E3
47.838,E5
47.928,D3_D5
48.024,F5
48.122,C3_E5
48.229,G5
48.326,B2_F5
48.457,A2
48.553,B2
48.65,G2
48.78,C3_E5
48.9,F5
48.999,F#5
49.098,G5
49.232,C5_E4_G3
49.711,B3_D5_E5_G3
49.84,E5
49.926,D5
50.008,C5
50.081,D5
50.149,C3_C5
50.243,C4
50.344,B3
50.466,C4
50.562,G3
50.643,C4
50.735,E3
50.85,G3
50.974,C3
51.654,B3_D5_G3
52.139,B3_G3
52.444,E5
52.543,D5
52.617,B3_C5_G3
52.733,B4
52.826,A4
52.942,G4
53.054,C4_E5_G3
53.303,C5
53.57,E4_G3
53.681,C5
53.779,B4
53.879,C5
53.984,C4_D5_G3
54.084,C5
54.194,E5
54.315,C5
54.442,D4_F5_G3
54.72,D5
54.946,F4_G3
55.07,D5
55.173,C#5
55.27,D5
55.386,B3_E5_G3
55.492,D5
55.592,F5
55.704,D5
55.828,E3_G5
55.944,F3
56.043,G3
56.129,E3
56.247,C3
56.395,C5
56.49,E5
56.592,G5
56.694,A5_F3
56.815,F5
56.907,C6
57.029,A5
57.15,E3_G5
57.276,F3
57.385,G3
57.49,E3
57.608,C3
57.72,C5
57.82,E5
57.911,G5
58.025,A5_F3
58.14,F5
58.238,C6
58.345,A5
58.46,E3_G5
58.579,C5
58.696,E5
58.794,G5
58.907,D3_F5
59.044,B4
59.133,D5
59.248,F5
59.332,C3_E5
59.477,G4
59.581,C5
59.691,E5
59.786,D5_G2_G3
59.93,C5
60.039,B4
60.142,C5
60.239,D5
60.346,E5
60.47,F5
60.568,G5
60.644,A5_F3
60.777,B5
60.884,C6
60.991,A5
61.084,E3_G5
61.228,C5
61.359,D5_E5
61.447,G5
61.54,D3_F5
61.658,B4
61.75,D5
61.859,F5
61.959,C3_E5
62.074,G4
62.179,C5
62.281,E5
62.42,G2_G3
62.485,E5
62.622,D5
62.72,C#5
62.825,D5
62.919,C5
63.025,B4
63.133,A#4
63.235,B4
63.355,A4
63.5,G4
63.65,F#4
63.774,G4
64.052,C3_E5
64.133,F5
64.228,G5
64.582,E3
65.104,C3_F5
65.213,E5
65.329,D5
65.453,C5
65.559,B4_F3
