start(sec),chord
1.038,F3_F4
1.243,A3
1.457,C4
1.621,A3
1.781,A4_C4
1.998,A3
2.178,C5_F3
2.395,C4
2.612,D#4
2.743,C4
2.935,A4_D#4
3.112,C4
3.299,A#4_F3
3.508,A#3
3.679,D4
3.866,A#3
4.01,G5
4.081,D4
4.207,A#3
4.423,F3_F5
4.604,E5_G3
4.781,A#3_E5
4.976,G3
5.159,A#3
5.334,G3
5.567,A3_F3_F5
5.961,A4
6.342,D5
6.725,G4
7.136,C5
7.733,A4
7.915,F3_F4
8.306,A2
8.681,D3
9.035,G2_G4
9.261,E4
9.333,C3_E4_F4
9.579,D4
9.779,E4
9.951,A2
10.145,A4_F2_F4
10.521,A#4_D3
10.871,A#2_D5
11.265,A2_D5
11.45,C5
11.632,A#4
11.793,A4
11.981,D3_G4
12.149,F4
12.351,A#2_G4
12.755,A#4
13.139,A#3_C3_E4
13.552,A3_F2_F4
14.344,A4_C5_C6
14.639,A#4_A#5_G4
14.729,A4_A5_F4
15.115,A4_A5_F4
15.506,A4_A5_F4
15.797,C4_G4_G5
15.879,A3_F4_F5
16.273,A3_F4_F5
16.67,A3_F4_F5
17.062,C4_E5_G4_G5
17.474,C4_E5_G4_G5
17.862,C4_E5_G4_G5
18.267,C4_E5_G4_G5
18.7,A4_A5_F4_F5
19.107,A4_C5_C6
19.203,D6
19.299,C6
19.378,A#4_A#5_G4
19.479,A4_A5_F4
19.899,A4_A5_F4
20.304,A4_A5_F4
20.397,A#5
20.498,A5
20.576,C4_G4_G5
20.686,A3_F4_F5
21.097,A3_F4_F5
21.51,A3_F4_F5
21.928,C4_G4_G5
22.35,A#5
22.797,A#4_E5_G4
22.861,C4
23.235,A4_F4_F5
24.036,A#4_C4_C6_E4
24.466,A4_F4_F5
25.273,A#3_C3_C5_E3
25.698,A3_F3_F4
26.471,C#2_C#3_C#4
26.852,D2_D3_D4
27.081,F3
27.271,A3
27.48,F3_F4
27.546,A4
27.632,A3_D5
27.851,A4_F3
27.93,D5
28.005,D3_F5
28.219,D5_F3
28.297,F5
28.373,A3_A5
28.56,A5_F3
28.748,A3_F5
28.91,D5_F3
29.103,C#5_E2_E3_E5_G5
29.273,A#5
29.488,A#3_C#4_E3_G3
29.709,A5
29.794,G5
29.872,F5
29.959,E5
30.049,D5
30.125,C#5
30.231,A#5_E2_E3
30.624,A#3_C#4_E3_G3
30.848,A5
30.938,G5
31.021,F5
31.118,E5
31.204,D5
31.287,C#5
31.386,D5_F3
31.59,A3
31.79,D4
32.003,A3_F4
32.079,A4
32.184,D4_D5
32.394,A3_A4
32.47,D5
32.551,F3_F5
32.768,A3_D5
32.843,F5
32.926,A5_D4
33.129,A3_A5
33.321,D4_F5
33.489,A3_D5
33.709,B4_D2_D3_D5_F5_G#5
34.111,B3_D3_F3_G#3
34.314,G5
34.409,F5
34.49,D#5
34.583,D5
34.667,C5
34.77,B4
34.852,D2_D3_G#5
35.25,B3_D3_F3_G#3
35.47,G5
35.557,F5
35.653,D#5
35.743,D5
35.839,C5
35.918,B4
36.025,C5_D#3
36.235,G3
36.41,C4
36.491,G4
36.579,C5_G3_G4
36.762,C4_D#5
36.851,C5
36.943,D#5_G3
37.026,C5
37.131,D#3_G5
37.21,D#5
37.303,G3_G5
37.39,D#5
37.502,C4_C6
37.714,G3
37.915,C4
38.11,G3
38.301,C3_C5
38.525,D#3
38.715,G#3
38.782,G#4
38.889,C5_D#3
38.98,G#4
39.074,D#5_G#3
39.158,C5
39.255,D#3_D#5
39.336,C5
39.431,C3_G#5
39.529,D#5
39.603,D#3_G#5
39.682,D#5_G5
39.829,C6_G#3
40.03,D#3
40.219,G#3
40.407,D#3
40.615,C5_G#2
40.824,C3
41.012,D#3
41.121,F#4
41.198,C3_C5
41.292,F#4
41.384,D#3_D#5
41.483,C5
41.547,C3_D#5
41.647,C5
41.743,F#5_G#2
41.83,D#5
41.92,C3_D#5_F#5_G#5
42.106,C6_D#3
42.31,C3
42.519,D#3_F#5
42.709,C3
42.903,B4_D5_G2_G4
43.076,B2_E5_G5
43.305,D3
43.492,G3
43.706,C3_F5
43.793,D#5
43.884,D#3_D5
43.978,C5
44.093,G2_G5
44.286,B2
