start(sec),chord
0.992,A3_C#5_E4
2.125,D5
2.327,C#5
2.47,B4
2.585,C#5
2.753,B3_E5
3.474,D5
4.148,B4_D4
4.883,G#4
5.721,A4_C#4
6.914,C#5
7.129,A4
7.417,E5
8.143,D5_G#4
8.848,D5_G#4
9.518,D5_G#4
10.281,A4_C#5
10.408,A4
10.607,A5
10.93,G#5
11.211,G5
11.583,D4_D5_F5
11.911,F#5
12.212,E5
12.517,D5
12.833,C#5
13.134,B4
13.471,D5
13.828,F#5
14.352,A4_C#4_E3
15.46,B4
15.63,A4
15.928,B3_G#4
16.473,E4
16.797,F#4
17.095,G#4
17.406,A4
17.697,A#4
18.022,B4
18.339,C5
18.85,A3_A4_C#5
19.839,D5
19.993,C#5
20.117,B4
20.236,C#5
20.404,B3_E5_G#4
21.087,D5
21.794,B4_D4_E4
22.469,G#4
23.323,A4_C#4_E4
24.441,C#5
24.626,A4
24.922,F5
25.607,B4_D4
26.285,C5_D#4
26.603,F#5
26.935,C5_D#4_G#5
27.315,A5
27.952,A5_C#5_E4
28.974,B5
29.138,C#6
29.297,A5
29.513,E5
29.827,A5
30.126,C#5
30.453,F#5
30.785,E5
31.095,D#5
31.448,D4_D5_E3
31.806,B4
32.383,A3_B4_D4
33.914,A4_C#4
34.781,E3
35.495,C#3
36.238,A2
37.158,D5_E3
38.008,B3_G#3
38.194,F#5
38.366,E5
38.527,F#5
38.695,B3_D5_G#3
38.848,E5
39.014,C#5
39.159,D5
39.345,A3_B4_C#4
39.534,C#5
39.672,A4
39.823,B4
40.027,B3_D4_G#4
40.781,B3_D4
41.577,A3
41.63,E5
42.385,C#4_E4
42.595,D#5
42.757,F#5
42.901,E5
43.059,A5_C#4_E4
43.224,G#5
43.392,B5
43.534,A5
43.684,B3_C#6_D4
43.854,B5
44.009,D6
44.172,C#6
44.398,C#4
44.475,E6
45.211,B3_G#3
46.072,F#3
46.134,A5
46.923,A3_C#4
47.115,C#6
47.285,B5
47.457,C#6
47.599,A3_A5_C#4
47.773,B5
47.94,G#5
48.086,A5
48.225,A3_C#4_F#5
48.424,G#5
48.572,E5
48.738,F#5
48.927,A3_B3_D#5
49.139,E5
49.31,F#5
49.467,G#5
49.648,A3_B3_B5
49.875,A5
50.048,F#5
50.255,D#5
50.674,A3_B3_E3_F#5
52.188,G#3
52.586,D#5
52.893,E5
53.19,F5
53.564,G#5
53.911,F#5
54.237,E5
54.576,D5
55.171,A#3_C#5_G4
56.217,D5
56.41,C#5
56.564,B4
56.681,C#5
56.85,B3_E5_F#4
57.557,D5
58.224,B4_D4_F4
58.931,G#4
59.768,A4_C#4_E4
60.904,C#5
61.1,A4
61.415,G5
62.137,A#4_C#4
62.837,B4_D4
63.542,C#5_E4
64.326,D4_D5_F5
64.556,F#5
64.708,G#5
64.863,F#5
65.001,E5
65.134,D5
65.307,C#5
65.445,B4
65.637,A4_C#4_E3
65.962,C#5
66.362,E5
67.072,D4_E3
67.444,E4
67.741,F#4
68.074,G#4
68.561,A3_B4_D4
70.092,A4_C#4
70.938,A#4
71.661,B4
72.395,C5
73.382,C#5_F#3
74.126,A4_F#4
