start(sec),chord
1.04,A4_D2_D3_D4_D5_F#4
1.969,G3_G4
2.065,F#3_F#4
2.169,E3_E4
2.262,D3_D4
2.346,G3_G4
2.432,F#3_F#4
2.527,E3_E4
2.6,D3_D4
2.695,A3_A4
3.098,F#3_F#4
3.517,B3_B4
4.135,F#3_F#4
4.303,G3_G4
4.505,E3_E4
4.686,A3_A4
4.882,F#3_F#4
5.064,D3_D4
5.254,B2_B3
5.434,E3_E4
5.618,C#3_C#4
5.823,A2_A3
6.022,A3
6.199,A2
6.391,A3
6.591,A2
6.775,A3_D5_F#4
6.958,A2_D5_F#4
7.133,A3_D5_F#4
7.328,A2_D5_F#4
7.522,A3_C#5_E4
7.727,A2_C#5_E4
7.934,A3
8.128,A2
8.315,A3_D5_F#5
8.505,A2_D5_F#5
8.676,A3_D5_F#5
8.876,A2_D5_F#5
9.076,A3_C#5_E5
9.276,A2_C#5_E5
9.491,A3
9.663,A2
9.859,A3_A5_F#5
10.048,A2_A5_F#5
10.245,A3_A5_F#5
10.448,A2_G5
10.548,F#5
10.643,G5
10.741,A5
10.836,B5
10.93,A5
11.012,G5
11.1,F#5
11.195,E5
11.292,D#5
11.382,E5
11.451,F#5
11.565,G5
11.642,F#5
11.743,E5
11.827,D5
11.923,C#4_C#5
12.017,B3_B4
12.125,C#4_C#5
12.206,D4_D5
12.301,E4_E5
12.404,D4_D5
12.496,C#4_C#5
12.589,B3_B4
12.69,A3_A4
12.792,G#3_G#4
12.885,A3_A4
12.97,B3_B4
13.083,A3_A4
13.178,G3_G4
13.273,F#3_F#4
13.366,E3_E4
13.458,D3_D4
13.671,D3
13.87,D3
14.065,D3
14.259,C#4_D3_E4
14.443,D3
14.641,C4_D3_F#4
14.829,D3
15.023,B3_D3_G4
15.229,D3
15.29,A4
15.355,B4
15.414,A4_C#4_D3
15.603,D3_G4
15.809,D3_D4_F#4
16.018,D3
16.204,D3
16.385,D3
16.612,D2_D4_F#4
16.844,D3
17.014,D3
17.208,D3
17.406,D3_E4_G4
17.62,D3
17.81,A4_D3_F#4
17.997,D3
18.207,B4_D3_G4
18.409,D3
18.474,C#5
18.551,C#5_D3_D5
18.792,B4_D3
18.999,A4_D3_F#4
19.199,D3
19.379,D3
19.573,D3_F#5
19.812,E5_G2_G3
19.924,D6
20.023,E5
20.087,D6
20.214,D3_D4_E5
20.312,D6
20.415,E5
20.501,D6
20.605,B2_B3_E5
20.701,D6
20.81,E5
20.902,D6
21.004,E5_G2_G3
21.096,D6
21.182,E5
21.271,D6
21.401,A2_A3_F#5
21.495,D6
21.596,F#5
21.698,D6
21.796,D3_D4_F#5
21.906,D6
21.999,F#5
22.092,D6
22.191,C3_C4_D3_F#5
22.294,D6
22.397,F#5
22.483,D6
22.578,A2_A3_F#5
22.702,D6
22.807,F#5
22.918,D6
22.991,B2_B3_G5
23.108,D6
23.195,G5
23.303,D6
23.391,G3_G4_G5
23.509,D6
23.603,G5
23.704,D6
23.793,D3_D4_G5
23.911,D6
24.001,G5
24.098,D6
24.172,B2_B3_G5
24.285,D6
24.37,G5
24.451,D6
24.561,A#2_A#3_D5_G#5
24.655,D6
24.779,D5_G#5
24.874,D6
24.943,D5_F3_F4_G#5
25.056,D6
25.155,D5_G#5
25.254,D6
25.337,D3_D4_D5_G#5
25.451,D6
25.539,D5_G#5
25.642,D6
25.716,A#2_A#3_D5_G#5
25.844,D6
25.927,D5_G#5
26.018,D6
26.122,A3_A5_C#6_E5
26.245,A4
26.353,G#4
26.452,A4
26.531,B4
26.635,A4
26.736,A5_F#4
26.818,A4
26.928,E4_G5
27.038,A4
27.129,D4_F#5
27.247,A4
27.323,C#4_E5
27.432,A4
27.514,B3_D5
27.633,A4
27.702,A3_C#5
27.819,A4
27.909,B3_D5
28.003,A4
28.094,C#4_E5
28.204,A4
28.285,D4_F#5
28.388,A4
28.5,A5_E4
28.596,A4_G5
28.69,C#4_F#5
28.788,A4_E5
28.888,D4_G5
28.982,A4_F#5
29.065,B3_E5
